SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
403110      1      0.163491      1      1       0.176402
403111      1      0.163491      1      1       0.176402
403112      1      0.163491      1      1       0.176402
403113      1      0.0856418      1      1      0.184814
403114      1      0.0856418      1      1      0.184814
403115      1      0.0856418      1      1      0.184814
403116      1      0.0856418      1      1      0.184814
403117      1      0.0460525      1      1      0.1964
403118      1      0.0460525      1      1      0.1964
403119      1      0.0460525      1      1      0.1964
403120      1      0.0460525      1      1      0.1964
403121      1      0.0252977      1      1      0.2091
403122      1      0.0252977      1      1      0.2091
403123      1      0.0252977      1      1      0.2091
403124      1      0.0252977      1      1      0.2091
403125      1      0.0252977      1      1      0.2091
403126      1      0.0141903      1      1      0.2272
403127      1      0.0141903      1      1      0.2272
403128      1      0.0141903      1      1      0.2272
403129      1      0.0141903      1      1      0.2272
403130      1      0.0141903      1      1      0.2272
403131      1      0.00810078      1      1      0.2426
403132      1      0.00810078      1      1      0.2426
403133      1      0.00810078      1      1      0.2426
403134      1      0.00810078      1      1      0.2426
403135      1      0.00810078      1      1      0.2426
403136      1      0.00810078      1      1      0.2426
403137      1      0.00470323      1      1      0.2610
403138      1      0.00470323      1      1      0.2610
403139      1      0.00470323      1      1      0.2610
403140      1      0.00470323      1      1      0.2610
403141      1      0.00470323      1      1      0.2610
403142      1      0.00470323      1      1      0.2610
403143      1      0.00470323      1      1      0.2610
403144      1      0.00276133      1      1      0.28108
403145      1      0.00276133      1      1      0.28108
403146      1      0.00276133      1      1      0.28108
403147      1      0.00276133      1      1      0.28108
403148      1      0.00276133      1      1      0.28108
403149      1      0.00276133      1      1      0.28108
403150      1      0.00276133      1      1      0.28108
403151      1      0.000981077      1      1      0.3184
403152      1      0.000981077      1      1      0.3184
403153      1      0.000981077      1      1      0.3184
403154      1      0.000981077      1      1      0.3184
403155      1      0.000981077      1      1      0.3184
403156      1      0.000981077      1      1      0.3184
403157      1      0.000981077      1      1      0.3184
403158      1      0.000981077      1      1      0.3184
403159      1      0.000219049      1      1      0.3852
403160      1      0.000219049      1      1      0.3852
403161      1      0.000219049      1      1      0.3852
403162      1      0.000219049      1      1      0.3852
403163      1      0.000219049      1      1      0.3852
403164      1      0.000219049      1      1      0.3852
403165      1      0.000219049      1      1      0.3852
403166      1      0.000219049      1      1      0.3852
403167      1      0.163491      1      1       0.176402
403168      1      0.0856418      1      1      0.184814
403169      1      0.0460525      1      1      0.1964
403170      1      0.0252977      1      1      0.2091
403171      1      0.0141903      1      1      0.2272
403172      1      0.00810078      1      1      0.2426
403173      1      0.00470323      1      1      0.2610
403174      1      0.00276133      1      1      0.28108
403175      1      0.000981077      1      1      0.3184
403176      1      0.000219049      1      1      0.3852
