        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#C1C1_500.slha
402200    157      0.022126500   1.00000000    1.00000000   0.088086231
402201    157      0.022126500   1.00000000    1.00000000   0.088086231
402202    157      0.022126500   1.00000000    1.00000000   0.088086231
402203    157      0.022126500   1.00000000    1.00000000   0.088086231
402204    157      0.022126500   1.00000000    1.00000000   0.088086231

#C1C1_700.slha
402205    157      0.004438700   1.00000000    1.00000000   0.102985784
402206    157      0.004438700   1.00000000    1.00000000   0.102985784
402207    157      0.004438700   1.00000000    1.00000000   0.102985784
402208    157      0.004438700   1.00000000    1.00000000   0.102985784
402209    157      0.004438700   1.00000000    1.00000000   0.102985784
402210    157      0.004438700   1.00000000    1.00000000   0.102985784

#C1C1_800.slha
402211    157      0.002211970   1.00000000    1.00000000   0.110849605
402212    157      0.002211970   1.00000000    1.00000000   0.110849605
402213    157      0.002211970   1.00000000    1.00000000   0.110849605
402214    157      0.002211970   1.00000000    1.00000000   0.110849605
402215    157      0.002211970   1.00000000    1.00000000   0.110849605
402216    157      0.002211970   1.00000000    1.00000000   0.110849605

#C1C1_900.slha
402217    157      0.001153010   1.00000000    1.00000000   0.117797764
402218    157      0.001153010   1.00000000    1.00000000   0.117797764
402219    157      0.001153010   1.00000000    1.00000000   0.117797764
402220    157      0.001153010   1.00000000    1.00000000   0.117797764
402221    157      0.001153010   1.00000000    1.00000000   0.117797764
402222    157      0.001153010   1.00000000    1.00000000   0.117797764
402223    157      0.001153010   1.00000000    1.00000000   0.117797764

#C1C1_1000.slha
402224    157      0.000621866   1.00000000    1.00000000   0.123982498
402225    157      0.000621866   1.00000000    1.00000000   0.123982498
402226    157      0.000621866   1.00000000    1.00000000   0.123982498
402227    157      0.000621866   1.00000000    1.00000000   0.123982498
402228    157      0.000621866   1.00000000    1.00000000   0.123982498
402229    157      0.000621866   1.00000000    1.00000000   0.123982498
402230    157      0.000621866   1.00000000    1.00000000   0.123982498

#C1C1_1100.slha
402231    157      0.000342626   1.00000000    1.00000000   0.124821817
402232    157      0.000342626   1.00000000    1.00000000   0.124821817
402233    157      0.000342626   1.00000000    1.00000000   0.124821817
402234    157      0.000342626   1.00000000    1.00000000   0.124821817
402235    157      0.000342626   1.00000000    1.00000000   0.124821817
402236    157      0.000342626   1.00000000    1.00000000   0.124821817
402237    157      0.000342626   1.00000000    1.00000000   0.124821817
402238    157      0.000342626   1.00000000    1.00000000   0.124821817

#C1C1_1200.slha
402239    157      0.000196044   1.00000000    1.00000000   0.134732509
402240    157      0.000196044   1.00000000    1.00000000   0.134732509
402241    157      0.000196044   1.00000000    1.00000000   0.134732509
402242    157      0.000196044   1.00000000    1.00000000   0.134732509
402243    157      0.000196044   1.00000000    1.00000000   0.134732509
402244    157      0.000196044   1.00000000    1.00000000   0.134732509
402245    157      0.000196044   1.00000000    1.00000000   0.134732509
402246    157      0.000196044   1.00000000    1.00000000   0.134732509

#C1C1_1300.slha
402247    157      0.000115645   1.00000000    1.00000000   0.162186000
402248    157      0.000115645   1.00000000    1.00000000   0.162186000
402249    157      0.000115645   1.00000000    1.00000000   0.162186000
402250    157      0.000115645   1.00000000    1.00000000   0.162186000
402251    157      0.000115645   1.00000000    1.00000000   0.162186000
402252    157      0.000115645   1.00000000    1.00000000   0.162186000
402253    157      0.000115645   1.00000000    1.00000000   0.162186000
402254    157      0.000115645   1.00000000    1.00000000   0.162186000
