#        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT

#C1C1_200.slha
402275    157      0.902569000   1.00000000    1.00000000   0.059542373
402276    157      0.902569000   1.00000000    1.00000000   0.059542373
402277    157      0.902569000   1.00000000    1.00000000   0.059542373
402278    157      0.902569000   1.00000000    1.00000000   0.059542373

#C1C1_300.slha
402279    157      0.190159000   1.00000000    1.00000000   0.070697679
402280    157      0.190159000   1.00000000    1.00000000   0.070697679
402281    157      0.190159000   1.00000000    1.00000000   0.070697679
402282    157      0.190159000   1.00000000    1.00000000   0.070697679
402283    157      0.190159000   1.00000000    1.00000000   0.070697679

#C1C1_400.slha
402284    157      0.058631100   1.00000000    1.00000000   0.080632975
402285    157      0.058631100   1.00000000    1.00000000   0.080632975
402286    157      0.058631100   1.00000000    1.00000000   0.080632975
402287    157      0.058631100   1.00000000    1.00000000   0.080632975
402288    157      0.058631100   1.00000000    1.00000000   0.080632975
402289    157      0.058631100   1.00000000    1.00000000   0.080632975

#C1C1_500.slha
402290    157      0.022126500   1.00000000    1.00000000   0.088086231
402291    157      0.022126500   1.00000000    1.00000000   0.088086231
402292    157      0.022126500   1.00000000    1.00000000   0.088086231
402293    157      0.022126500   1.00000000    1.00000000   0.088086231
402294    157      0.022126500   1.00000000    1.00000000   0.088086231
402295    157      0.022126500   1.00000000    1.00000000   0.088086231
402296    157      0.022126500   1.00000000    1.00000000   0.088086231

#C1C1_600.slha
402297    157      0.009499130   1.00000000    1.00000000   0.096042901
402298    157      0.009499130   1.00000000    1.00000000   0.096042901
402299    157      0.009499130   1.00000000    1.00000000   0.096042901
402300    157      0.009499130   1.00000000    1.00000000   0.096042901
402301    157      0.009499130   1.00000000    1.00000000   0.096042901
402302    157      0.009499130   1.00000000    1.00000000   0.096042901
402303    157      0.009499130   1.00000000    1.00000000   0.096042901
402304    157      0.009499130   1.00000000    1.00000000   0.096042901

#C1C1_700.slha
402305    157      0.004438700   1.00000000    1.00000000   0.102985784
402306    157      0.004438700   1.00000000    1.00000000   0.102985784
402307    157      0.004438700   1.00000000    1.00000000   0.102985784
402308    157      0.004438700   1.00000000    1.00000000   0.102985784
402309    157      0.004438700   1.00000000    1.00000000   0.102985784
402310    157      0.004438700   1.00000000    1.00000000   0.102985784
402311    157      0.004438700   1.00000000    1.00000000   0.102985784
402312    157      0.004438700   1.00000000    1.00000000   0.102985784
402313    157      0.004438700   1.00000000    1.00000000   0.102985784

#C1C1_800.slha
402314    157      0.002211970   1.00000000    1.00000000   0.110849605
402315    157      0.002211970   1.00000000    1.00000000   0.110849605
402316    157      0.002211970   1.00000000    1.00000000   0.110849605
402317    157      0.002211970   1.00000000    1.00000000   0.110849605
402318    157      0.002211970   1.00000000    1.00000000   0.110849605
402319    157      0.002211970   1.00000000    1.00000000   0.110849605
402320    157      0.002211970   1.00000000    1.00000000   0.110849605
402321    157      0.002211970   1.00000000    1.00000000   0.110849605
402322    157      0.002211970   1.00000000    1.00000000   0.110849605
402323    157      0.002211970   1.00000000    1.00000000   0.110849605

#C1C1_900.slha
402324    157      0.001153010   1.00000000    1.00000000   0.117797764
402325    157      0.001153010   1.00000000    1.00000000   0.117797764
402326    157      0.001153010   1.00000000    1.00000000   0.117797764
402327    157      0.001153010   1.00000000    1.00000000   0.117797764
402328    157      0.001153010   1.00000000    1.00000000   0.117797764
402329    157      0.001153010   1.00000000    1.00000000   0.117797764
402330    157      0.001153010   1.00000000    1.00000000   0.117797764
402331    157      0.001153010   1.00000000    1.00000000   0.117797764
402332    157      0.001153010   1.00000000    1.00000000   0.117797764
402333    157      0.001153010   1.00000000    1.00000000   0.117797764
402334    157      0.001153010   1.00000000    1.00000000   0.117797764
