# author : tripiana@cern.ch (please report any problems)
# date   : 23/12/2016
# source : https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
#
DSID    FS    XSEC[pb]       K-FACTOR  FILTEREFF   REL.UNCERT
388880	51    8.51615	 	1.0	3.9697E-01	0.139223
388881	51    3.78661		1.0	4.1110E-01	0.136877
388882	51    1.83537		1.0	4.5082E-01	0.136985
388883	51    1.83537		1.0	4.4167E-01	0.136985
388884	51    1.83537		1.0	4.2117E-01	0.136985
388885	51    0.948333		1.0	4.6279E-01	0.134559
388886	51    0.948333		1.0	4.5641E-01	0.134559
388887	51    0.948333		1.0	4.4771E-01	0.134559
388888	51    0.948333		1.0	4.2732E-01	0.134559
388889	51    0.51848		1.0	1.0		0.133797
388890	51    0.51848		1.0	1.0		0.133797
388891	51    0.51848		1.0	1.0		0.133797
388892	51    0.51848		1.0	1.0		0.133797
388893	51    0.51848		1.0	1.0		0.133797
388894	51    0.296128		1.0	1.0		0.132687
388895	51    0.296128		1.0	1.0		0.132687
388896	51    0.296128		1.0	1.0		0.132687
388897	51    0.296128		1.0	1.0		0.132687
388898	51    0.296128		1.0	1.0		0.132687
388899	51    0.296128		1.0	1.0		0.132687
388900	51    0.174599		1.0	1.0		0.132074
388901	51    0.174599		1.0	1.0		0.132074
388902	51    0.174599		1.0	1.0		0.132074
388903	51    0.174599		1.0	1.0		0.132074
388904	51    0.174599		1.0	1.0		0.132074
388905	51    0.174599		1.0	1.0		0.132074
388906	51    0.174599		1.0	1.0		0.132074
388907	51    0.107045		1.0	1.0		0.129232
388908	51    0.107045		1.0	1.0		0.129232
388909	51    0.107045		1.0	1.0		0.129232
388910	51    0.107045		1.0	1.0		0.129232
388911	51    0.107045		1.0	1.0		0.129232
388912	51    0.107045		1.0	1.0		0.129232
388913	51    0.107045		1.0	1.0		0.129232
388914	51    0.107045		1.0	1.0		0.129232
388915	51    0.0670476		1.0	1.0		0.133429
388916	51    0.0670476		1.0	1.0		0.133429
388917	51    0.0670476		1.0	1.0		0.133429
388918	51    0.0670476		1.0	1.0		0.133429
388919	51    0.0670476		1.0	1.0		0.133429
388920	51    0.0670476		1.0	1.0		0.133429
388921	51    0.0670476		1.0	1.0		0.133429
388922	51    0.0670476		1.0	1.0		0.133429
388923	51    0.0670476		1.0	1.0		0.133429
388924	51    0.0431418		1.0	1.0		0.137455
388925	51    0.0431418		1.0	1.0		0.137455
388926	51    0.0431418		1.0	1.0		0.137455
388927	51    0.0431418		1.0	1.0		0.137455
388928	51    0.0431418		1.0	1.0		0.137455
