# author : keisuke.yoshihara@cern.ch (please report any problems)
# date   : 14/02/2017
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
# Well-tempered neutralino grid (sbottom pair production)	
#
390686 51 4.77871 1.0 0.46677 0.137554
390687 51 4.41629 1.0 0.66061 0.137945
390688 51 4.41629 1.0 0.57685 0.137945
390689 51 4.08881 1.0 0.52028 0.137075
390690 51 1.83537 1.0 0.6463 0.136985
390691 51 1.70927 1.0 0.57099 0.137114
390692 51 1.70927 1.0 0.70036 0.137114
390693 51 1.60378 1.0 0.64291 0.135468
390694 51 1.60378 1.0 0.57097 0.135468
390695 51 1.22589 1.0 0.70189 0.133237
390696 51 1.22589 1.0 0.64533 0.133237
390697 51 1.22589 1.0 0.74049 0.133237
390698 51 1.14553 1.0 0.69632 0.135478
390699 51 1.14553 1.0 0.62631 0.135478
390700 51 1.07484 1.0 0.54222 0.137238
390701 51 0.697075 1.0 1.0 0.133926
390702 51 0.697075 1.0 1.0 0.133926
390703 51 0.655954 1.0 1.0 0.134392
390704 51 0.655954 1.0 1.0 0.134392
390705 51 0.655954 1.0 1.0 0.134392
390706 51 0.618562 1.0 1.0 0.133705
390707 51 0.618562 1.0 1.0 0.133705
390708 51 0.296128 1.0 1.0 0.132687
390709 51 0.296128 1.0 1.0 0.132687
390710 51 0.280734 1.0 1.0 0.132363
390711 51 0.280734 1.0 1.0 0.132363
390712 51 0.280734 1.0 1.0 0.132363
390713 51 0.280734 1.0 1.0 0.132363
390714 51 0.266138 1.0 1.0 0.13193
390715 51 0.142787 1.0 1.0 0.130642
390716 51 0.136372 1.0 1.0 0.127962
390717 51 0.136372 1.0 1.0 0.127962
390718 51 0.136372 1.0 1.0 0.127962
390719 51 0.136372 1.0 1.0 0.127962
390720 51 0.136372 1.0 1.0 0.127962
390721 51 0.129886 1.0 1.0 0.132957
390722 51 0.0927515 1.0 1.0 0.129548
390723 51 0.0927515 1.0 1.0 0.129548
390724 51 0.0885084 1.0 1.0 0.130218
390725 51 0.0885084 1.0 1.0 0.130218
390726 51 0.0885084 1.0 1.0 0.130218
390727 51 0.0885084 1.0 1.0 0.130218
390728 51 0.0885084 1.0 1.0 0.130218
390729 51 0.0513219 1.0 1.0 0.135682
390730 51 0.0513219 1.0 1.0 0.135682
390731 51 0.0513219 1.0 1.0 0.135682
390732 51 0.0491001 1.0 1.0 0.136268
390733 51 0.0491001 1.0 1.0 0.136268
390734 51 0.0491001 1.0 1.0 0.136268
390735 51 0.0491001 1.0 1.0 0.136268
390736 51 0.0363856 1.0 1.0 0.139334
390737 51 0.0363856 1.0 1.0 0.139334
390738 51 0.0348796 1.0 1.0 0.139597
390739 51 0.0348796 1.0 1.0 0.139597
390740 51 0.0348796 1.0 1.0 0.139597
390741 51 0.0348796 1.0 1.0 0.139597
390742 51 0.0348796 1.0 1.0 0.139597
390743 51 0.0213766 1.0 1.0 0.145511
390744 51 0.0213766 1.0 1.0 0.145511
390745 51 0.0213766 1.0 1.0 0.145511
390746 51 0.0213766 1.0 1.0 0.145511
390747 51 0.0213766 1.0 1.0 0.145511
390748 51 0.0204715 1.0 1.0 0.146131
390749 51 0.0204715 1.0 1.0 0.146131
390750 51 0.0150143 1.0 1.0 0.150389
390751 51 0.0150143 1.0 1.0 0.150389
390752 51 0.0150143 1.0 1.0 0.150389
390753 51 0.0150143 1.0 1.0 0.150389
390754 51 0.0150143 1.0 1.0 0.150389
390755 51 0.0150143 1.0 1.0 0.150389
390756 51 0.0150143 1.0 1.0 0.150389
390757 51 0.0106631 1.0 1.0 0.154806
390758 51 0.0106631 1.0 1.0 0.154806
390759 51 0.0106631 1.0 1.0 0.154806
390760 51 0.0106631 1.0 1.0 0.154806
390761 51 0.0106631 1.0 1.0 0.154806
390762 51 0.0106631 1.0 1.0 0.154806
390763 51 0.0106631 1.0 1.0 0.154806
