# author : keisuke.yoshihara@cern.ch (please report any problems)
# date   : 14/02/2017
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
# wino NLSP (M2 = 2*M1) grid (sbottom pair production)	
#
390900 51 11.0925 1.0 0.38847 0.140904
390901 51 13.3231 1.0 0.41277 0.142549
390902 51 13.3231 1.0 0.61681 0.142549
390903 51 2.61162 1.0 0.5308 0.138477
390904 51 3.02472 1.0 0.57146 0.137093
390905 51 3.02472 1.0 0.65397 0.137093
390906 51 1.01019 1.0 0.6513 0.134187
390907 51 1.07484 1.0 0.63127 0.137238
390908 51 1.07484 1.0 0.66113 0.137238
390909 51 1.07484 1.0 0.83417 0.137238
390910 51 0.462439 1.0 1.0 0.133046
390911 51 0.489324 1.0 1.0 0.133608
390912 51 0.489324 1.0 1.0 0.133608
390913 51 0.462439 1.0 1.0 0.133046
390914 51 0.238537 1.0 1.0 0.133409
390915 51 0.251557 1.0 1.0 0.131731
390916 51 0.238537 1.0 1.0 0.133409
390917 51 0.238537 1.0 1.0 0.133409
390918 51 0.238537 1.0 1.0 0.133409
390919 51 0.129886 1.0 1.0 0.132957
390920 51 0.136372 1.0 1.0 0.127962
390921 51 0.136372 1.0 1.0 0.127962
390922 51 0.129886 1.0 1.0 0.132957
390923 51 0.129886 1.0 1.0 0.132957
390924 51 0.0769099 1.0 1.0 0.131517
390925 51 0.0806192 1.0 1.0 0.131131
390926 51 0.0769099 1.0 1.0 0.131517
390927 51 0.0769099 1.0 1.0 0.131517
390928 51 0.0769099 1.0 1.0 0.131517
390929 51 0.0734901 1.0 1.0 0.132344
390930 51 0.0470801 1.0 1.0 0.136895
390931 51 0.0491001 1.0 1.0 0.136268
390932 51 0.0470801 1.0 1.0 0.136895
390933 51 0.0470801 1.0 1.0 0.136895
390934 51 0.0470801 1.0 1.0 0.136895
390935 51 0.0470801 1.0 1.0 0.136895
390936 51 0.0295348 1.0 1.0 0.141397
390937 51 0.0307373 1.0 1.0 0.14115
390938 51 0.0307373 1.0 1.0 0.14115
390939 51 0.0295348 1.0 1.0 0.141397
390940 51 0.0295348 1.0 1.0 0.141397
390941 51 0.0295348 1.0 1.0 0.141397
390942 51 0.0295348 1.0 1.0 0.141397
390943 51 0.0197653 1.0 1.0 0.146602
390944 51 0.0197653 1.0 1.0 0.146602
390945 51 0.0197653 1.0 1.0 0.146602
390946 51 0.0197653 1.0 1.0 0.146602
390947 51 0.0197653 1.0 1.0 0.146602
390948 51 0.0189612 1.0 1.0 0.14702
390949 51 0.0189612 1.0 1.0 0.14702
390950 51 0.0133962 1.0 1.0 0.151325
390951 51 0.0133962 1.0 1.0 0.151325
390952 51 0.0133962 1.0 1.0 0.151325
390953 51 0.0128895 1.0 1.0 0.152026
390954 51 0.0128895 1.0 1.0 0.152026
390955 51 0.0128895 1.0 1.0 0.152026
390956 51 0.0128895 1.0 1.0 0.152026
390957 51 0.0123843 1.0 1.0 0.152968
390958 51 0.00883465 1.0 1.0 0.157177
390959 51 0.00883465 1.0 1.0 0.157177
390960 51 0.00883465 1.0 1.0 0.157177
390961 51 0.00883465 1.0 1.0 0.157177
390962 51 0.00883465 1.0 1.0 0.157177
