# B. Martin, 05 Oct 2015
# simplified model, gluino pairs with 2-step decay via stau
# J85 truth level jet filter for compressed points
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
373200      2      0.3618197575   1.00000000    1.00000000   0.16618988
373201      2      4.8640911506   1.00000000    1.00000000   0.13770201
373202      2      0.3618197575   1.00000000    1.00000000   0.16618988
373203      2      4.8640911506   1.00000000    1.00000000   0.13770201
373204      2      1.5296400314   1.00000000    4.6145E-01   0.14997830
373205      2      3.0314311497   1.00000000    4.4826E-01   0.14263807
373206      2      0.0019580528   1.00000000    1.00000000   0.29355025
373207      2      0.0045751074   1.00000000    1.00000000   0.26363920
373208      2      0.0109896599   1.00000000    1.00000000   0.23616389
373209      2      0.0276264239   1.00000000    1.00000000   0.20854107
373210      2      0.0732255234   1.00000000    1.00000000   0.18722715
373211      2      0.2070254035   1.00000000    7.8874E-01   0.17321120
373212      2      0.6523174436   1.00000000    4.8880E-01   0.15913974
373213      2      0.0012977942   1.00000000    1.00000000   0.31127909
373214      2      0.0029848287   1.00000000    1.00000000   0.27853570
373215      2      0.0070499035   1.00000000    1.00000000   0.24853606
373216      2      0.0173388453   1.00000000    1.00000000   0.22356345
373217      2      0.0446358234   1.00000000    1.00000000   0.19945135
373218      2      0.1217550164   1.00000000    1.00000000   0.18022250
373219      2      0.3618197575   1.00000000    7.8819E-01   0.16618988
373220      2      1.2166982637   1.00000000    4.8712E-01   0.15214098
373221      2      0.0019580528   1.00000000    1.00000000   0.29355025
373222      2      0.0045751074   1.00000000    1.00000000   0.26363920
373223      2      0.0109896599   1.00000000    1.00000000   0.23616389
373224      2      0.0276264239   1.00000000    1.00000000   0.20854107
373225      2      0.0732255234   1.00000000    1.00000000   0.18722715
373226      2      0.2070254035   1.00000000    1.00000000   0.17321120
373227      2      0.6523174436   1.00000000    7.8551E-01   0.15913974
373228      2      0.0012977942   1.00000000    1.00000000   0.31127909
373229      2      0.0029848287   1.00000000    1.00000000   0.27853570
373230      2      0.0070499035   1.00000000    1.00000000   0.24853606
373231      2      0.0173388453   1.00000000    1.00000000   0.22356345
373232      2      0.0446358234   1.00000000    1.00000000   0.19945135
373233      2      0.0019580528   1.00000000    1.00000000   0.29355025
373234      2      0.0045751074   1.00000000    1.00000000   0.26363920
373235      2      0.0109896599   1.00000000    1.00000000   0.23616389
373236      2      0.0276264239   1.00000000    1.00000000   0.20854107
373237      2      0.0012977942   1.00000000    1.00000000   0.31127909
373238      2      0.0029848287   1.00000000    1.00000000   0.27853570
373239      2      0.0070499035   1.00000000    1.00000000   0.24853606
373240      2      0.0173388453   1.00000000    1.00000000   0.22356345
373241      2      0.0446358234   1.00000000    1.00000000   0.19945135
373242      2      0.0019580528   1.00000000    1.00000000   0.29355025
373243      2      0.0045751074   1.00000000    1.00000000   0.26363920
373244      2      0.0109896599   1.00000000    1.00000000   0.23616389
373245      2      0.0276264239   1.00000000    1.00000000   0.20854107
373246      2      0.0012977942   1.00000000    1.00000000   0.31127909
373247      2      0.0029848287   1.00000000    1.00000000   0.27853570
373248      2      0.0070499035   1.00000000    1.00000000   0.24853606
373249      2      0.0173388453   1.00000000    1.00000000   0.22356345
373250      2      0.0019580528   1.00000000    1.00000000   0.29355025
373251      2      0.0045751074   1.00000000    1.00000000   0.26363920
373252      2      0.0109896599   1.00000000    1.00000000   0.23616389
373253      2      0.0276264239   1.00000000    1.00000000   0.20854107
373254      2      0.0012977942   1.00000000    1.00000000   0.31127909
373255      2      0.0029848287   1.00000000    1.00000000   0.27853570
373256      2      0.0070499035   1.00000000    1.00000000   0.24853606
373257      2      0.0173388453   1.00000000    1.00000000   0.22356345
373258      2      1.2166982637   1.00000000    1.00000000   0.15214098
373259      2      0.1217550164   1.00000000    1.00000000   0.18022250
373260      2      0.0446358234   1.00000000    1.00000000   0.19945135
373261      2      1.2166982637   1.00000000    1.00000000   0.15214098
373262      2      0.1217550164   1.00000000    1.00000000   0.18022250
373263      2      0.0446358234   1.00000000    1.00000000   0.19945135
373264      2      1.2166982637   1.00000000    1.00000000   0.15214098
373265      2      0.1217550164   1.00000000    1.00000000   0.18022250
373266      2      0.6523174436   1.00000000    1.00000000   0.15913974
373267      2      0.2070254035   1.00000000    1.00000000   0.17321120
373268      2      0.0732255234   1.00000000    1.00000000   0.18722715
373269      2      0.3618197575   1.00000000    1.00000000   0.16618988
373270      2      0.1217550164   1.00000000    1.00000000   0.18022250
373271      2     25.8951428458   1.00000000    1.00000000   0.13792628
373272      2     25.8951428458   1.00000000    7.4780E-01   0.13792628
373273      2     25.8951428458   1.00000000    4.1536E-01   0.13792628
373274      2     10.7458574805   1.00000000    4.3936E-01   0.13493591
373275      2      2.3660975592   1.00000000    7.8094E-01   0.14538065
373276      2      4.8640911506   1.00000000    4.5593E-01   0.13770201
373277      2      1.2166982637   1.00000000    7.8246E-01   0.15214098
373278      2      2.3660975592   1.00000000    4.7049E-01   0.14538065
373279      2     36.0717530960   1.00000000    3.7750E-01   0.13890344
373280      2     14.4963305146   1.00000000    4.0993E-01   0.13921480
373281      2      6.3596055556   1.00000000    4.3373E-01   0.13714720
