#date: 03/11/2015
       25/07/2016 (extended)
#information from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVgluglu
DSID	FS	CROSSSECTION [pb]	K-FACTOR	FILTEREff REL.UNCERT
387400	2 	0.163491		1.0 		1.0 	  0.176402
387401	2 	0.163491		1.0 		1.0 	  0.176402
387402	2 	0.0460525		1.0 		1.0 	  0.1964
387403	2 	0.677478		1.0 		1.0 	  0.158762
387404	2 	0.325388		1.0 		1.0 	  0.16758
387405	2 	0.325388		1.0 		1.0 	  0.16758
387406	2 	0.163491		1.0 		1.0 	  0.176402
387407	2 	0.163491		1.0 		1.0 	  0.176402
387408	2 	0.163491		1.0 		1.0 	  0.176402
387409	2 	0.163491		1.0 		1.0 	  0.176402
387410	2 	0.0856418		1.0 		1.0 	  0.184814
387411	2 	0.0856418		1.0 		1.0 	  0.184814
387412	2 	0.0856418		1.0 		1.0 	  0.184814
387413	2 	0.0856418		1.0 		1.0 	  0.184814
387414	2 	0.0856418		1.0 		1.0 	  0.184814
387415	2 	0.0856418		1.0 		1.0 	  0.184814
387416	2 	0.0627027		1.0 		1.0 	  0.189328
387417	2 	0.0460525		1.0 		1.0 	  0.1964
387418	2 	0.0460525		1.0 		1.0 	  0.1964
387419	2 	0.0460525		1.0 		1.0 	  0.1964
387420	2 	0.0460525		1.0 		1.0 	  0.1964
387421	2 	0.0460525		1.0 		1.0 	  0.1964
387422	2 	0.0252977		1.0 		1.0 	  0.209163
387423	2 	0.0252977		1.0 		1.0 	  0.209163
387424	2 	0.0252977		1.0 		1.0 	  0.209163
387425	2 	0.0252977		1.0 		1.0 	  0.209163
387426	2 	0.0252977		1.0 		1.0 	  0.209163
387427	2 	0.0252977		1.0 		1.0 	  0.209163
387428	2 	0.00810078		1.0 		1.0 	  0.242679
387429	2 	0.00810078		1.0 		1.0 	  0.242679
387430	2 	0.00810078		1.0 		1.0 	  0.242679
387431	2 	0.00810078		1.0 		1.0 	  0.242679
387432	2 	0.0141903		1.0 		1.0 	  0.227296
