# SignalUncertainties for simplified model based on squark+gluino production 
# with all open production modes (go go, sq sq, sq go, sq sq~) considered
# See further details in ATLSUSYSW-233
SAMPLE        FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
373690         1         0.0009854118         1         1         0.30598145
373690         2         0.0000053565         1         1         0.66229238
373690         3         0.0191662573         1         1         0.08385248
373690         4         0.0067573639         1         1         0.17821046
373691         1         0.0000757165         1         1         0.47665129
373691         2         0.0000000291         1         1         0.87061178
373691         3         0.0120326950         1         1         0.12400771
373691         4         0.0048679554         1         1         0.22400595
373692         1         0.0000065599         1         1         0.59593144
373692         2         0.0000000000         1         1         0.77592604
373692         3         0.0085471621         1         1         0.11975385
373692         4         0.0040625179         1         1         0.23562955
373693         1         0.0000005001         1         1         0.70175763
373693         2         0.0000000000         1         1         0.00000000
373693         3         0.0063605556         1         1         0.11734459
373693         4         0.0035448539         1         1         0.24375731
373694         1         0.0040940445         1         1         0.24607826
373694         2         0.0005594251         1         1         0.47165048
373694         3         0.0044336696         1         1         0.13779689
373694         4         0.0007105250         1         1         0.27248345
373695         1         0.0011224722         1         1         0.29840309
373695         2         0.0000466372         1         1         0.60874700
373695         3         0.0037323581         1         1         0.12555564
373695         4         0.0006406132         1         1         0.26766898
373696         1         0.0003302035         1         1         0.35975047
373696         2         0.0000044962         1         1         0.71191955
373696         3         0.0031418310         1         1         0.11711033
373696         4         0.0005851419         1         1         0.27150675
373697         1         0.0000247225         1         1         0.53553275
373697         2         0.0000000252         1         1         0.88879415
373697         3         0.0020756426         1         1         0.16531366
373697         4         0.0004285367         1         1         0.31341649
373698         1         0.0000020195         1         1         0.64837247
373698         2         0.0000000000         1         1         0.80291958
373698         3         0.0015208780         1         1         0.16086339
373698         4         0.0003552176         1         1         0.32441193
373699         1         0.0000001368         1         1         0.74641912
373699         2         0.0000000000         1         1         0.00000000
373699         3         0.0011561225         1         1         0.15747326
373699         4         0.0003040671         1         1         0.33301804
373700         1         0.0057948326         1         1         0.25979105
373700         2         0.0104731744         1         1         0.30187793
373700         3         0.0006223859         1         1         0.18381471
373700         4         0.0000565081         1         1         0.41910883
373701         1         0.0014710160         1         1         0.30304541
373701         2         0.0006003678         1         1         0.46260587
373701         3         0.0006009793         1         1         0.17515346
373701         4         0.0000583309         1         1         0.41286965
373702         1         0.0003919795         1         1         0.35771417
373702         2         0.0000445117         1         1         0.62281803
373702         3         0.0005437486         1         1         0.16523362
373702         4         0.0000582261         1         1         0.41413375
373703         1         0.0001120254         1         1         0.41786304
373703         2         0.0000039809         1         1         0.74773489
373703         3         0.0004783786         1         1         0.15642539
373703         4         0.0000538389         1         1         0.41209677
373704         1         0.0000080286         1         1         0.58866275
373704         2         0.0000000219         1         1         0.90723911
373704         3         0.0003356048         1         1         0.20343577
373704         4         0.0000412229         1         1         0.43885781
373705         1         0.0000006004         1         1         0.69906012
373705         2         0.0000000000         1         1         0.83708378
373705         3         0.0002547747         1         1         0.19791747
373705         4         0.0000348084         1         1         0.44629956
373706         1         0.0000000350         1         1         0.78301656
373706         2         0.0000000000         1         1         0.00000000
373706         3         0.0001974802         1         1         0.19805619
373706         4         0.0000297402         1         1         0.45389544
373707         1         0.0019918790         1         1         0.31180840
373707         2         0.0110795095         1         1         0.28814823
373707         3         0.0000672167         1         1         0.22131110
373707         4         0.0000043952         1         1         0.59212532
373708         1         0.0005235615         1         1         0.36284721
373708         2         0.0006466288         1         1         0.44168162
373708         3         0.0000703637         1         1         0.21597860
373708         4         0.0000047860         1         1         0.58620039
