# grid   : pair production of stop1 decaying to a N2. 13 TeV.
# author : gmullier@cern.ch (please report any problems
# date   : 19/11/2016
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# Filter efficiencies from AMI
#
#  DSID                 FS                   CROSSECTION[pb]      K-FACTOR             FILTEREFF            REL.UNCERT          
   389080               61                   0.51848              1.0                  0.62404              0.133797            
   389081               61                   0.51848              1.0                  0.62029              0.133797            
   389082               61                   0.51848              1.0                  0.60918              0.133797            
   389083               61                   0.51848              1.0                  0.59424              0.133797            
   389084               61                   0.51848              1.0                  0.58671              0.133797            
   389085               61                   0.174599             1.0                  0.65631              0.132074            
   389086               61                   0.174599             1.0                  0.65315              0.132074            
   389087               61                   0.174599             1.0                  0.64184              0.132074            
   389088               61                   0.174599             1.0                  0.63212              0.132074            
   389089               61                   0.174599             1.0                  0.62384              0.132074            
   389090               61                   0.174599             1.0                  0.61403              0.132074            
   389091               61                   0.174599             1.0                  0.60364              0.132074            
   389092               61                   0.107045             1.0                  0.67372              0.129232            
   389093               61                   0.107045             1.0                  0.67032              0.129232            
   389094               61                   0.107045             1.0                  0.65937              0.129232            
   389095               61                   0.107045             1.0                  0.64575              0.129232            
   389096               61                   0.107045             1.0                  0.64101              0.129232            
   389097               61                   0.107045             1.0                  0.63278              0.129232            
   389098               61                   0.107045             1.0                  0.62222              0.129232            
   389099               61                   0.107045             1.0                  0.61253              0.129232            
   389100               61                   0.0670476            1.0                  0.69179              0.133429            
   389101               61                   0.0670476            1.0                  0.68498              0.133429            
   389102               61                   0.0670476            1.0                  0.67044              0.133429            
   389103               61                   0.0670476            1.0                  0.65351              0.133429            
   389104               61                   0.0670476            1.0                  0.64989              0.133429            
   389105               61                   0.0670476            1.0                  0.64375              0.133429            
   389106               61                   0.0670476            1.0                  0.64243              0.133429            
   389107               61                   0.0670476            1.0                  0.62777              0.133429            
   389108               61                   0.0670476            1.0                  0.61852              0.133429            
   389109               61                   0.0431418            1.0                  0.69215              0.137455            
   389110               61                   0.0431418            1.0                  0.70028              0.137455            
   389111               61                   0.0431418            1.0                  0.67896              0.137455            
   389112               61                   0.0431418            1.0                  0.67773              0.137455            
   389113               61                   0.0431418            1.0                  0.66701              0.137455            
   389114               61                   0.0431418            1.0                  0.66079              0.137455            
   389115               61                   0.0431418            1.0                  0.6518               0.137455            
   389116               61                   0.0431418            1.0                  0.653                0.137455            
   389117               61                   0.0431418            1.0                  0.63367              0.137455            
   389118               61                   0.0431418            1.0                  0.62259              0.137455            
   389119               61                   0.0283338            1.0                  0.70725              0.14171             
   389120               61                   0.0283338            1.0                  0.70959              0.14171             
   389121               61                   0.0283338            1.0                  0.69368              0.14171             
   389122               61                   0.0283338            1.0                  0.68809              0.14171             
   389123               61                   0.0283338            1.0                  0.67366              0.14171             
   389124               61                   0.0283338            1.0                  0.67179              0.14171             
   389125               61                   0.0283338            1.0                  0.66556              0.14171             
   389126               61                   0.0283338            1.0                  0.6663               0.14171             
   389127               61                   0.0283338            1.0                  0.64468              0.14171             
   389128               61                   0.0283338            1.0                  0.63842              0.14171             
   389129               61                   0.0283338            1.0                  0.63096              0.14171             
