# grid	 : pair production of stop2 decaying to a Z boson and stop1 13 TeV.
# author : gmullier@cern.ch (please report any problems)
# date   : 13/05/2016
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom 
# Filter efficiencies from AMI
#
#DSID  		FS		CROSSECTION[pb]		K-FACTOR	FILTEREFF	REL.UNCERT
388050		61		0.51848        		1.0     	0.38141    	0.133797
388051		61		0.51848        		1.0     	0.35900    	0.133797
388052		61		0.51848        		1.0     	0.34016    	0.133797
388053		61		0.51848        		1.0     	0.33305    	0.133797
388054		61		0.296128       		1.0     	0.33051    	0.132687
388055		61		0.174599       		1.0     	0.40503    	0.132074
388056		61		0.174599       		1.0     	0.38329    	0.132074
388057		61		0.174599       		1.0     	0.36667    	0.132074
388058		61		0.174599       		1.0     	0.35637    	0.132074
388059		61		0.174599       		1.0     	0.34345    	0.132074
388060		61		0.174599       		1.0     	0.33198    	0.132074
388061		61		0.107045       		1.0     	0.41035    	0.129232
388062		61		0.107045       		1.0     	0.40159    	0.129232
388063		61		0.107045       		1.0     	0.37860    	0.129232
388064		61		0.107045       		1.0     	0.36306    	0.129232
388065		61		0.107045       		1.0     	0.35020    	0.129232
388066		61		0.107045       		1.0     	0.34388    	0.129232
388067		61		0.107045       		1.0     	0.33286    	0.129232
388068		61		0.0670476      		1.0     	0.42694    	0.133429
388069		61		0.0670476      		1.0     	0.40055    	0.133429
388070		61		0.0670476      		1.0     	0.39448    	0.133429
388071		61		0.0670476      		1.0     	0.37793    	0.133429
388072		61		0.0670476      		1.0     	0.36442    	0.133429
388073		61		0.0670476      		1.0     	0.35155    	0.133429
388074		61		0.0670476      		1.0     	0.33978    	0.133429
388075		61		0.0670476      		1.0     	0.33060    	0.133429
388076		61		0.0431418      		1.0     	0.42886    	0.137455
388077		61		0.0431418      		1.0     	0.40818    	0.137455
388078		61		0.0431418      		1.0     	0.41163    	0.137455
388079		61		0.0431418      		1.0     	0.38771    	0.137455
388080		61		0.0431418      		1.0     	0.36851    	0.137455
388081		61		0.0431418      		1.0     	0.35734    	0.137455
388082		61		0.0431418      		1.0     	0.34810    	0.137455
388083		61		0.0431418      		1.0     	0.34267    	0.137455
388084		61		0.0431418      		1.0     	0.33215    	0.137455
388085		61		0.0283338      		1.0     	0.45297    	0.14171
388086		61		0.0283338      		1.0     	0.42322    	0.14171
388087		61		0.0283338      		1.0     	0.40476    	0.14171
388088		61		0.0283338      		1.0     	0.38555    	0.14171
388089		61		0.0283338      		1.0     	0.37265    	0.14171
388090		61		0.0283338      		1.0     	0.36955    	0.14171
388091		61		0.0283338      		1.0     	0.36295    	0.14171
388092		61		0.0283338      		1.0     	0.35527    	0.14171
388093		61		0.0283338      		1.0     	0.33858    	0.14171
388094		61		0.0283338      		1.0     	0.33182    	0.14171
388095		61		0.0128895      		1.0     	0.46088    	0.152026
388096		61		0.0128895      		1.0     	0.41386    	0.152026
388097		61		0.0128895      		1.0     	0.39627    	0.152026
388098		61		0.0128895      		1.0     	0.36358    	0.152026
388099		61		0.0128895      		1.0     	0.35262    	0.152026
388100		61		0.0128895      		1.0     	0.34245    	0.152026
388101		61		0.00615134     		1.0     	0.46281    	0.162953
388102		61		0.00615134     		1.0     	0.42615    	0.162953
388103		61		0.00615134     		1.0     	0.40881    	0.162953
388104		61		0.00615134     		1.0     	0.38907    	0.162953
388105		61		0.00615134     		1.0     	0.36734    	0.162953
388106		61		0.00615134     		1.0     	0.35488    	0.162953
388107		61		0.00615134     		1.0     	0.34013    	0.162953
388108		61		0.51848        		1.0     	0.31794    	0.133797
388109		61		0.296128       		1.0     	0.31824    	0.132687
388110		61		0.174599       		1.0     	0.31725    	0.132074
388111		61		0.107045       		1.0     	0.31685    	0.129232
388112		61		0.0670476      		1.0     	0.31796    	0.133429
388113		61		0.0431418      		1.0     	0.32442    	0.137455
388114		61		0.0283338      		1.0     	0.31954    	0.14171
388115		61		0.0128895      		1.0     	0.31314    	0.152026
388116		61		0.00615134     		1.0     	0.31642    	0.162953
388117		61		0.51848        		1.0     	0.30767    	0.133797
388118		61		0.296128       		1.0     	0.30649    	0.132687
388119		61		0.174599       		1.0     	0.31140    	0.132074
388120		61		0.107045       		1.0     	0.31232    	0.129232
388121		61		0.0670476      		1.0     	0.31021    	0.133429
388122		61		0.0431418      		1.0     	0.30556    	0.137455
388123		61		0.0283338      		1.0     	0.30341    	0.14171
388124		61		0.0128895      		1.0     	0.31566    	0.152026
388125		61		0.00615134     		1.0     	0.30890    	0.16295		
388126  	61		0.0189612    	     	1.0		0.4451  	0.14702 	    
388127  	61		0.0189612    	     	1.0		0.42705 	0.14702 	    
388128  	61		0.0189612    	     	1.0		0.41102 	0.14702 	    
388129  	61		0.0189612    	     	1.0		0.39586 	0.14702 	    
388130  	61		0.0189612    	     	1.0		0.3893  	0.14702 	    
388131  	61		0.0189612    	     	1.0		0.37281 	0.14702 	    
388132  	61		0.0189612    	     	1.0		0.36665 	0.14702 	    
388133  	61		0.0189612    	     	1.0		0.359		0.14702 	    
388134  	61		0.0189612    	     	1.0		0.35469 	0.14702 	    
388135  	61		0.0189612    	     	1.0		0.34256 	0.14702 	    
388136  	61		0.0189612    	     	1.0		0.32913 	0.14702 	    
388137  	61		0.0189612    	     	1.0		0.31478 	0.14702 	    
388138  	61		0.0189612    	     	1.0		0.30568 	0.14702  
   
