# grid   : pair production of stop2 decaying to a h boson. 13 TeV.
# author : gmullier@cern.ch (please report any problems
# date   : 6/12/2016
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# Filter efficiencies from AMI
#
#  DSID                 FS                   CROSSECTION[pb]      K-FACTOR             FILTEREFF            REL.UNCERT          
   390040               61                   0.51848              1.0                  0.67682              0.133797            
   390041               61                   0.51848              1.0                  0.64736              0.133797            
   390042               61                   0.51848              1.0                  0.62159              0.133797            
   390043               61                   0.51848              1.0                  0.59099              0.133797            
   390044               61                   0.51848              1.0                  0.55725              0.133797            
   390045               61                   0.296128             1.0                  0.59531              0.132687            
   390046               61                   0.296128             1.0                  0.5626               0.132687            
   390047               61                   0.174599             1.0                  0.71642              0.132074            
   390048               61                   0.174599             1.0                  0.6902               0.132074            
   390049               61                   0.174599             1.0                  0.67313              0.132074            
   390050               61                   0.174599             1.0                  0.65032              0.132074            
   390051               61                   0.174599             1.0                  0.62359              0.132074            
   390052               61                   0.174599             1.0                  0.59349              0.132074            
   390053               61                   0.174599             1.0                  0.55692              0.132074            
   390054               61                   0.107045             1.0                  0.72573              0.129232            
   390055               61                   0.107045             1.0                  0.70172              0.129232            
   390056               61                   0.107045             1.0                  0.68892              0.129232            
   390057               61                   0.107045             1.0                  0.66661              0.129232            
   390058               61                   0.107045             1.0                  0.64573              0.129232            
   390059               61                   0.107045             1.0                  0.62418              0.129232            
   390060               61                   0.107045             1.0                  0.59143              0.129232            
   390061               61                   0.107045             1.0                  0.55567              0.129232            
   390062               61                   0.0670476            1.0                  0.73788              0.133429            
   390063               61                   0.0670476            1.0                  0.72256              0.133429            
   390064               61                   0.0670476            1.0                  0.69707              0.133429            
   390065               61                   0.0670476            1.0                  0.68257              0.133429            
   390066               61                   0.0670476            1.0                  0.66395              0.133429            
   390067               61                   0.0670476            1.0                  0.64695              0.133429            
   390068               61                   0.0670476            1.0                  0.62282              0.133429            
   390069               61                   0.0670476            1.0                  0.59848              0.133429            
   390070               61                   0.0670476            1.0                  0.55833              0.133429            
   390071               61                   0.0431418            1.0                  0.74764              0.137455            
   390072               61                   0.0431418            1.0                  0.74096              0.137455            
   390073               61                   0.0431418            1.0                  0.71849              0.137455            
   390074               61                   0.0431418            1.0                  0.69348              0.137455            
   390075               61                   0.0431418            1.0                  0.67903              0.137455            
   390076               61                   0.0431418            1.0                  0.66511              0.137455            
   390077               61                   0.0431418            1.0                  0.64781              0.137455            
   390078               61                   0.0431418            1.0                  0.62493              0.137455            
   390079               61                   0.0431418            1.0                  0.59116              0.137455            
   390080               61                   0.0431418            1.0                  0.55651              0.137455            
   390081               61                   0.0283338            1.0                  0.76355              0.14171             
   390082               61                   0.0283338            1.0                  0.74917              0.14171             
   390083               61                   0.0283338            1.0                  0.72985              0.14171             
   390084               61                   0.0283338            1.0                  0.71627              0.14171             
   390085               61                   0.0283338            1.0                  0.69958              0.14171             
   390086               61                   0.0283338            1.0                  0.68368              0.14171             
   390087               61                   0.0283338            1.0                  0.66809              0.14171             
   390088               61                   0.0283338            1.0                  0.65125              0.14171             
   390089               61                   0.0283338            1.0                  0.60841              0.14171             
   390090               61                   0.0283338            1.0                  0.58591              0.14171             
   390091               61                   0.0283338            1.0                  0.54969              0.14171             
   390092               61                   0.0128895            1.0                  0.78838              0.152026            
   390093               61                   0.0128895            1.0                  0.75907              0.152026            
   390094               61                   0.0128895            1.0                  0.7104               0.152026            
   390095               61                   0.0128895            1.0                  0.70118              0.152026            
   390096               61                   0.0128895            1.0                  0.67088              0.152026            
   390097               61                   0.0128895            1.0                  0.61145              0.152026            
   390098               61                   0.0128895            1.0                  0.55371              0.152026            
   390099               61                   0.00615134           1.0                  0.79726              0.162953            
   390100               61                   0.00615134           1.0                  0.76786              0.162953            
   390101               61                   0.00615134           1.0                  0.73692              0.162953            
   390102               61                   0.00615134           1.0                  0.72065              0.162953            
   390103               61                   0.00615134           1.0                  0.69256              0.162953            
   390104               61                   0.00615134           1.0                  0.66969              0.162953            
   390105               61                   0.00615134           1.0                  0.62555              0.162953            
   390106               61                   0.00615134           1.0                  0.55188              0.162953            
