# grid   : pair production of stop1 decaying to a N1. 13 TeV.
# author : cmerlass@cern.ch (please report any problems
# date   : 25/01/2017
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# Filter efficiencies from AMI
#
#  DSID                 FS                   CROSSECTION[pb]      K-FACTOR             FILTEREFF            REL.UNCERT          
   387928               61                   7.6836               1.0                  0.0066624            0.139505            
   387929               61                   7.6836               1.0                  0.0053356            0.139505            
   387930               61                   7.6836               1.0                  0.0044461            0.139505            
   387931               61                   7.6836               1.0                  0.0029297            0.139505            
   387932               61                   7.6836               1.0                  0.0010945            0.139505            
   387933               61                   2.1575               1.0                  0.0072006            0.141584            
   387934               61                   2.1575               1.0                  0.0056962            0.141584            
   387935               61                   2.1575               1.0                  0.0047191            0.141584            
   387936               61                   2.1575               1.0                  0.0030751            0.141584            
   387937               61                   2.1575               1.0                  0.0011279            0.141584            
   387938               61                   8.51615              1.0                  0.0076558            0.139223            
   387939               61                   8.51615              1.0                  0.0060246            0.139223            
   388830               61                   8.51615              1.0                  0.0049143            0.139223            
   388831               61                   8.51615              1.0                  0.003203             0.139223            
   388832               61                   8.51615              1.0                  0.001167             0.139223            
   388833               61                   6.08444              1.0                  0.0080874            0.137957            
   388834               61                   6.08444              1.0                  0.006354             0.137957            
   388835               61                   6.08444              1.0                  0.0051353            0.137957            
   388836               61                   6.08444              1.0                  0.0033035            0.137957            
   388837               61                   6.08444              1.0                  0.0011907            0.137957            
   388838               61                   3.78661              1.0                  0.0086203            0.136877            
   388839               61                   3.78661              1.0                  0.0067572            0.136877            
   388840               61                   3.78661              1.0                  0.0055334            0.136877            
   388841               61                   3.78661              1.0                  0.0034816            0.136877            
   388842               61                   3.78661              1.0                  0.0012341            0.136877            
   388843               61                   2.43031              1.0                  0.0091509            0.136999            
   388844               61                   2.43031              1.0                  0.0071341            0.136999            
   388845               61                   2.43031              1.0                  0.0058212            0.136999            
   388846               61                   2.43031              1.0                  0.0036623            0.136999            
   388847               61                   2.43031              1.0                  0.0012778            0.136999            
   388848               61                   1.83537              1.0                  0.0095495            0.136985            
   388849               61                   1.83537              1.0                  0.0073424            0.136985            
   388850               61                   1.83537              1.0                  0.0059381            0.136985            
   388851               61                   1.83537              1.0                  0.0037221            0.136985            
   388852               61                   1.83537              1.0                  0.0013081            0.136985            
   388853               61                   0.948333             1.0                  0.10103              0.134559            
   388854               61                   0.948333             1.0                  0.0079229            0.134559            
   388855               61                   0.948333             1.0                  0.006348             0.134559            
   388856               61                   0.948333             1.0                  0.0039262            0.134559            
   388857               61                   0.948333             1.0                  0.0013626            0.134559            
   388858               61                   0.51848              1.0                  0.10676              0.133797            
   388859               61                   0.51848              1.0                  0.008342             0.133797            
   388860               61                   0.51848              1.0                  0.0066251            0.133797            
   388861               61                   0.51848              1.0                  0.0040937            0.133797            
   388862               61                   0.51848              1.0                  0.0014032            0.133797            
   388863               61                   0.296128             1.0                  0.11066              0.132687            
   388864               61                   0.296128             1.0                  0.0086137            0.132687            
   388865               61                   0.296128             1.0                  0.0069098            0.132687            
   388866               61                   0.296128             1.0                  0.0042278            0.132687            
   388867               61                   0.296128             1.0                  0.0014336            0.132687            
   388868               61                   0.174599             1.0                  0.11513              0.132074            
   388869               61                   0.174599             1.0                  0.0090103            0.132074            
   388870               61                   0.174599             1.0                  0.0071503            0.132074            
   388871               61                   0.174599             1.0                  0.0044145            0.132074            
   388872               61                   0.174599             1.0                  0.0014716            0.132074            
   388873               61                   0.107045             1.0                  0.11901              0.129232            
   388874               61                   0.107045             1.0                  0.0092797            0.129232            
   388875               61                   0.107045             1.0                  0.0073584            0.129232            
   388876               61                   0.107045             1.0                  0.0044725            0.129232            
   388877               61                   0.107045             1.0                  0.0014906            0.129232            
   389982               61                   1.5949               1.0                  0.10288              0.140595            
   389983               61                   1.5949               1.0                  0.0022692            0.140595            
   389984               61                   3.3231               1.0                  0.26477              0.142549            
   389985               61                   3.3231               1.0                  0.10299              0.142549            
   389986               61                   3.3231               1.0                  0.0022402            0.142549            
   389987               61                   8.51615              1.0                  0.26528              0.139223            
   389988               61                   8.51615              1.0                  0.10255              0.139223            
   389989               61                   8.51615              1.0                  0.0022104            0.139223            
   389990               61                   5.60471              1.0                  0.26649              0.138144            
   389991               61                   5.60471              1.0                  0.10267              0.138144            
   389992               61                   5.60471              1.0                  0.0021777            0.138144            
   389993               61                   3.78661              1.0                  0.26642              0.136877            
   389994               61                   3.78661              1.0                  0.10225              0.136877            
   389995               61                   3.78661              1.0                  0.0021391            0.136877            
   389996               61                   2.61162              1.0                  0.26878              0.138477            
   389997               61                   2.61162              1.0                  0.10165              0.138477            
   389998               61                   2.61162              1.0                  0.0021208            0.138477            
   389999               61                   1.83537              1.0                  0.26758              0.136985            
   390000               61                   1.83537              1.0                  0.10214              0.136985            
   390001               61                   1.83537              1.0                  0.0020916            0.136985            
   390002               61                   1.31169              1.0                  0.2675               0.135013            
   390003               61                   1.31169              1.0                  0.10223              0.135013            
   390004               61                   1.31169              1.0                  0.0020639            0.135013            
   390005               61                   0.948333             1.0                  0.27004              0.134559            
   390006               61                   0.948333             1.0                  0.10146              0.134559            
   390007               61                   0.948333             1.0                  0.0020294            0.134559            
   390008               61                   0.697075             1.0                  0.26416              0.133926            
   390009               61                   0.697075             1.0                  0.1024               0.133926            
   390010               61                   0.697075             1.0                  0.0020387            0.133926            
   390011               61                   0.51848              1.0                  0.26958              0.133797            
   390012               61                   0.51848              1.0                  0.10045              0.133797            
   390013               61                   0.51848              1.0                  0.0019966            0.133797            
   390014               61                   0.390303             1.0                  0.27155              0.133443            
   390015               61                   0.390303             1.0                  0.10293              0.133443            
   390016               61                   0.390303             1.0                  0.0019936            0.133443            
   390017               61                   0.296128             1.0                  0.26588              0.132687            
   390018               61                   0.296128             1.0                  0.0099796            0.132687            
   390019               61                   0.296128             1.0                  0.0019494            0.132687            
   390850               61                   1.5949               1.0                  0.21912              0.140595            
   390851               61                   1.5949               1.0                  0.23771              0.140595            
   390852               61                   1.5949               1.0                  0.25111              0.140595            
   390853               61                   8.51615              1.0                  0.26817              0.139223            
   390854               61                   8.51615              1.0                  0.26006              0.139223            
   390855               61                   8.51615              1.0                  0.27407              0.139223            
   390856               61                   8.51615              1.0                  0.28694              0.139223            
