# author : tripiana@cern.ch (please report any problems)
# date   : 03/08/2015
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
387450   61       0.0431418        1.0          0.50229      0.137455    
387451   61       0.0431418        1.0          0.50081      0.137455    
387452   61       0.00615134       1.0          0.50632      0.162953    
387453   61       0.0431418        1.0          0.49827      0.137455    
387454   61       0.00615134       1.0          0.5031       0.162953    
387455   61       0.0431418        1.0          0.50131      0.137455    
387456   61       0.948333         1.0          0.50528      0.134559    
387457   61       0.0431418        1.0          0.49633      0.137455    
387458   61       0.948333         1.0          0.50305      0.134559    
387459   61       0.0283338        1.0          0.49793      0.14171     
387460   61       0.51848          1.0          0.49862      0.133797    
387461   61       0.0283338        1.0          0.5028       0.14171     
387462   61       0.51848          1.0          0.49832      0.133797    
387463   61       0.0283338        1.0          0.49658      0.14171     
387464   61       0.51848          1.0          0.49853      0.133797    
387465   61       0.0283338        1.0          0.49842      0.14171     
387466   61       0.296128         1.0          0.50391      0.132687    
387467   61       0.0283338        1.0          0.49597      0.14171     
387468   61       0.174599         1.0          0.50365      0.132074    
387469   61       0.0283338        1.0          0.49932      0.14171     
387470   61       0.174599         1.0          0.50306      0.132074    
387471   61       0.0189612        1.0          0.49342      0.14702     
387472   61       0.174599         1.0          0.50066      0.132074    
387473   61       0.0189612        1.0          0.5074       0.14702     
387474   61       0.107045         1.0          0.50312      0.129232    
387475   61       0.0189612        1.0          0.50206      0.14702     
387476   61       0.107045         1.0          0.50479      0.129232    
387477   61       0.0189612        1.0          0.50048      0.14702     
387478   61       0.107045         1.0          0.50229      0.129232    
387479   61       0.0189612        1.0          0.50329      0.14702     
387480   61       0.107045         1.0          0.49754      0.129232    
387481   61       0.0128895        1.0          0.49982      0.152026    
387482   61       0.0670476        1.0          0.50771      0.133429    
387483   61       0.0128895        1.0          0.49959      0.152026    
387484   61       0.0670476        1.0          0.50005      0.133429    
387485   61       0.00615134       1.0          0.49973      0.162953    
387486   61       0.0670476        1.0          0.50246      0.133429    
387487   61       0.0128895        1.0          0.50613      0.152026    
387488   61       0.0670476        1.0          0.50036      0.133429    
387489   61       0.0431418        1.0          0.49454      0.137455    
