# author : keisuke.yoshihara@cern.ch (please report any problems)
# date   : 14/02/2017
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
# Well-tempered neutralino grid (stop pair production)	
#
390530 61 5.60471 1.0 0.50388 0.138144
390531 61 5.60471 1.0 0.49048 0.138144
390532 61 5.17188 1.0 0.40513 0.136954
390533 61 5.17188 1.0 0.35654 0.136954
390534 61 1.9665 1.0 0.62596 0.134737
390535 61 1.9665 1.0 0.57575 0.134737
390536 61 1.9665 1.0 0.56207 0.134737
390537 61 1.83537 1.0 0.51652 0.136985
390538 61 1.83537 1.0 0.41844 0.136985
390539 61 1.60378 1.0 0.6625 0.135468
390540 61 1.60378 1.0 0.60942 0.135468
390541 61 1.49798 1.0 0.62575 0.134453
390542 61 1.49798 1.0 0.56546 0.134453
390543 61 1.49798 1.0 0.461 0.134453
390544 61 1.39688 1.0 0.39577 0.136719
390545 61 0.948333 1.0 1.0 0.134559
390546 61 0.948333 1.0 1.0 0.134559
390547 61 0.890847 1.0 1.0 0.134587
390548 61 0.890847 1.0 1.0 0.134587
390549 61 0.890847 1.0 1.0 0.134587
390550 61 0.836762 1.0 1.0 0.134468
390551 61 0.836762 1.0 1.0 0.134468
390552 61 0.348705 1.0 1.0 0.132706
390553 61 0.348705 1.0 1.0 0.132706
390554 61 0.330157 1.0 1.0 0.132981
390555 61 0.330157 1.0 1.0 0.132981
390556 61 0.330157 1.0 1.0 0.132981
390557 61 0.330157 1.0 1.0 0.132981
390558 61 0.312672 1.0 1.0 0.13277
390559 61 0.150275 1.0 1.0 0.13285
390560 61 0.150275 1.0 1.0 0.13285
390561 61 0.150275 1.0 1.0 0.13285
390562 61 0.150275 1.0 1.0 0.13285
390563 61 0.142787 1.0 1.0 0.130642
390564 61 0.142787 1.0 1.0 0.130642
390565 61 0.142787 1.0 1.0 0.130642
390566 61 0.107045 1.0 1.0 0.129232
390567 61 0.107045 1.0 1.0 0.129232
390568 61 0.107045 1.0 1.0 0.129232
390569 61 0.107045 1.0 1.0 0.129232
390570 61 0.107045 1.0 1.0 0.129232
390571 61 0.107045 1.0 1.0 0.129232
390572 61 0.102081 1.0 1.0 0.130012
390573 61 0.0560753 1.0 1.0 0.134984
390574 61 0.0560753 1.0 1.0 0.134984
390575 61 0.0560753 1.0 1.0 0.134984
390576 61 0.0560753 1.0 1.0 0.134984
390577 61 0.0560753 1.0 1.0 0.134984
390578 61 0.0536438 1.0 1.0 0.135804
390579 61 0.0536438 1.0 1.0 0.135804
390580 61 0.0413447 1.0 1.0 0.137833
390581 61 0.0413447 1.0 1.0 0.137833
390582 61 0.0413447 1.0 1.0 0.137833
390583 61 0.0396264 1.0 1.0 0.138518
390584 61 0.0396264 1.0 1.0 0.138518
390585 61 0.0396264 1.0 1.0 0.138518
390586 61 0.0396264 1.0 1.0 0.138518
390587 61 0.0230866 1.0 1.0 0.144428
390588 61 0.0230866 1.0 1.0 0.144428
390589 61 0.0230866 1.0 1.0 0.144428
390590 61 0.0230866 1.0 1.0 0.144428
390591 61 0.0230866 1.0 1.0 0.144428
390592 61 0.0230866 1.0 1.0 0.144428
390593 61 0.0230866 1.0 1.0 0.144428
390594 61 0.0168336 1.0 1.0 0.148528
390595 61 0.0168336 1.0 1.0 0.148528
390596 61 0.0168336 1.0 1.0 0.148528
390597 61 0.0168336 1.0 1.0 0.148528
390598 61 0.0168336 1.0 1.0 0.148528
390599 61 0.0162314 1.0 1.0 0.148772
390600 61 0.0162314 1.0 1.0 0.148772
390601 61 0.0123843 1.0 1.0 0.152968
390602 61 0.0123843 1.0 1.0 0.152968
390603 61 0.0123843 1.0 1.0 0.152968
390604 61 0.0123843 1.0 1.0 0.152968
390605 61 0.0119837 1.0 1.0 0.153089
390606 61 0.0119837 1.0 1.0 0.153089
390607 61 0.0119837 1.0 1.0 0.153089
390608 61 2.61162 1.0 0.65545 0.138477
390609 61 2.61162 1.0 0.65882 0.138477
390610 61 2.43031 1.0 0.63183 0.136999
390611 61 2.43031 1.0 0.5438 0.136999
390612 61 1.49798 1.0 0.71939 0.134453
390613 61 1.49798 1.0 0.69383 0.134453
390614 61 1.39688 1.0 0.70493 0.136719
390615 61 1.39688 1.0 0.66379 0.136719
390616 61 1.31169 1.0 0.55964 0.135013
390617 61 1.39688 1.0 0.72923 0.136719
390618 61 1.31169 1.0 0.70609 0.135013
390619 61 1.31169 1.0 0.7128 0.135013
390620 61 1.22589 1.0 0.67972 0.133237
390621 61 1.22589 1.0 0.58519 0.133237
390622 61 1.14553 1.0 0.44544 0.135478
390623 61 1.01019 1.0 1.0 0.134187
390624 61 1.01019 1.0 1.0 0.134187
390625 61 0.948333 1.0 1.0 0.134559
390626 61 0.948333 1.0 1.0 0.134559
390627 61 0.890847 1.0 1.0 0.134587
390628 61 0.890847 1.0 1.0 0.134587
390629 61 0.836762 1.0 1.0 0.134468
390630 61 0.368755 1.0 1.0 0.133769
390631 61 0.368755 1.0 1.0 0.133769
390632 61 0.368755 1.0 1.0 0.133769
390633 61 0.348705 1.0 1.0 0.132706
390634 61 0.348705 1.0 1.0 0.132706
390635 61 0.330157 1.0 1.0 0.132981
390636 61 0.330157 1.0 1.0 0.132981
390637 61 0.166131 1.0 1.0 0.130154
390638 61 0.166131 1.0 1.0 0.130154
390639 61 0.166131 1.0 1.0 0.130154
390640 61 0.166131 1.0 1.0 0.130154
390641 61 0.158242 1.0 1.0 0.13142
390642 61 0.158242 1.0 1.0 0.13142
390643 61 0.150275 1.0 1.0 0.13285
390644 61 0.123402 1.0 1.0 0.13016
390645 61 0.123402 1.0 1.0 0.13016
390646 61 0.123402 1.0 1.0 0.13016
390647 61 0.123402 1.0 1.0 0.13016
390648 61 0.11795 1.0 1.0 0.127132
390649 61 0.11795 1.0 1.0 0.127132
390650 61 0.11795 1.0 1.0 0.127132
390651 61 0.0641426 1.0 1.0 0.13363
390652 61 0.0641426 1.0 1.0 0.13363
390653 61 0.0641426 1.0 1.0 0.13363
390654 61 0.0641426 1.0 1.0 0.13363
390655 61 0.0612942 1.0 1.0 0.133941
390656 61 0.0612942 1.0 1.0 0.133941
390657 61 0.0612942 1.0 1.0 0.133941
390658 61 0.0491001 1.0 1.0 0.136268
390659 61 0.0491001 1.0 1.0 0.136268
390660 61 0.0491001 1.0 1.0 0.136268
390661 61 0.0470801 1.0 1.0 0.136895
390662 61 0.0470801 1.0 1.0 0.136895
390663 61 0.0470801 1.0 1.0 0.136895
390664 61 0.0470801 1.0 1.0 0.136895
390665 61 0.0272206 1.0 1.0 0.14241
390666 61 0.0272206 1.0 1.0 0.14241
390667 61 0.0272206 1.0 1.0 0.14241
390668 61 0.0272206 1.0 1.0 0.14241
390669 61 0.0272206 1.0 1.0 0.14241
390670 61 0.0272206 1.0 1.0 0.14241
390671 61 0.0261233 1.0 1.0 0.142891
390672 61 0.0204715 1.0 1.0 0.146131
390673 61 0.0204715 1.0 1.0 0.146131
390674 61 0.0204715 1.0 1.0 0.146131
390675 61 0.0204715 1.0 1.0 0.146131
390676 61 0.0204715 1.0 1.0 0.146131
390677 61 0.0204715 1.0 1.0 0.146131
390678 61 0.0197653 1.0 1.0 0.146602
390679 61 0.0150143 1.0 1.0 0.150389
390680 61 0.0150143 1.0 1.0 0.150389
390681 61 0.0150143 1.0 1.0 0.150389
390682 61 0.0150143 1.0 1.0 0.150389
390683 61 0.0150143 1.0 1.0 0.150389
390684 61 0.0150143 1.0 1.0 0.150389
390685 61 0.0144112 1.0 1.0 0.150614
