# author : keisuke.yoshihara@cern.ch (please report any problems)
# date   : 14/02/2017
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
# wino NLSP (M2 = 2*M1) grid (stop pair production)	
#
389370 61 14.6459 1.0 0.36021 0.139278
389371 61 16.112 1.0 0.36676 0.139531
389372 61 16.112 1.0 0.34319 0.139531
389373 61 3.25619 1.0 0.54098 0.138002
389374 61 3.25619 1.0 0.56149 0.138002
389375 61 3.25619 1.0 0.64796 0.138002
389376 61 1.14553 1.0 0.66242 0.135478
389377 61 1.14553 1.0 0.66309 0.135478
389378 61 1.14553 1.0 0.72054 0.135478
389379 61 1.07484 1.0 0.74122 0.137238
389380 61 0.51848 1.0 1.0 0.133797
389381 61 0.51848 1.0 1.0 0.133797
389382 61 0.489324 1.0 1.0 0.133608
389383 61 0.489324 1.0 1.0 0.133608
389384 61 0.251557 1.0 1.0 0.131731
389385 61 0.251557 1.0 1.0 0.131731
389386 61 0.251557 1.0 1.0 0.131731
389387 61 0.251557 1.0 1.0 0.131731
389388 61 0.238537 1.0 1.0 0.133409
389389 61 0.136372 1.0 1.0 0.127962
389390 61 0.136372 1.0 1.0 0.127962
389391 61 0.136372 1.0 1.0 0.127962
389392 61 0.136372 1.0 1.0 0.127962
389393 61 0.136372 1.0 1.0 0.127962
389394 61 0.0806192 1.0 1.0 0.131131
389395 61 0.0806192 1.0 1.0 0.131131
389396 61 0.0806192 1.0 1.0 0.131131
389397 61 0.0806192 1.0 1.0 0.131131
389398 61 0.0769099 1.0 1.0 0.131517
389399 61 0.0769099 1.0 1.0 0.131517
389400 61 0.0491001 1.0 1.0 0.136268
389401 61 0.0491001 1.0 1.0 0.136268
389402 61 0.0491001 1.0 1.0 0.136268
389403 61 0.0491001 1.0 1.0 0.136268
389404 61 0.0470801 1.0 1.0 0.136895
389405 61 0.0470801 1.0 1.0 0.136895
389406 61 0.0307373 1.0 1.0 0.14115
389407 61 0.0307373 1.0 1.0 0.14115
389408 61 0.0307373 1.0 1.0 0.14115
389409 61 0.0307373 1.0 1.0 0.14115
389410 61 0.0307373 1.0 1.0 0.14115
389411 61 0.0295348 1.0 1.0 0.141397
389412 61 0.0295348 1.0 1.0 0.141397
389413 61 0.0204715 1.0 1.0 0.146131
389414 61 0.0204715 1.0 1.0 0.146131
389415 61 0.0197653 1.0 1.0 0.146602
389416 61 0.0197653 1.0 1.0 0.146602
389417 61 0.0197653 1.0 1.0 0.146602
389418 61 0.0197653 1.0 1.0 0.146602
