# Cross sections for stop->stau simplified signal grid
# author: Balthasar.Schachtner@cern.ch
# date: 7.2.2017
DSID     FS    CROSSECTION[pb]    K-FACTOR     FILTEREFF    REL.UNCERT     # Masses
387654   61    0.51848            1.0          1.0          0.133797	   # 500_090
387655   61    0.51848            1.0          1.0          0.133797	   # 500_140
387659   61    0.51848            1.0          1.0          0.133797	   # 500_490
387660   61    0.296128           1.0          1.0          0.132687	   # 550_090
387661   61    0.296128           1.0          1.0          0.132687	   # 550_140
387662   61    0.296128           1.0          1.0          0.132687	   # 550_190
387668   61    0.296128           1.0          1.0          0.132687	   # 550_490
387669   61    0.296128           1.0          1.0          0.132687	   # 550_540
387670   61    0.174599           1.0          1.0          0.132074	   # 600_090
387671   61    0.174599           1.0          1.0          0.132074	   # 600_140
387672   61    0.174599           1.0          1.0          0.132074	   # 600_190
387673   61    0.174599           1.0          1.0          0.132074	   # 600_240
387676   61    0.174599           1.0          1.0          0.132074	   # 600_390
387679   61    0.174599           1.0          1.0          0.132074	   # 600_540
387680   61    0.174599           1.0          1.0          0.132074	   # 600_590
387681   61    0.107045           1.0          1.0          0.129232	   # 650_090
387682   61    0.107045           1.0          1.0          0.129232	   # 650_140
387683   61    0.107045           1.0          1.0          0.129232	   # 650_190
387684   61    0.107045           1.0          1.0          0.129232	   # 650_240
387685   61    0.107045           1.0          1.0          0.129232	   # 650_290
387686   61    0.107045           1.0          1.0          0.129232	   # 650_340
387687   61    0.107045           1.0          1.0          0.129232	   # 650_390
387688   61    0.107045           1.0          1.0          0.129232	   # 650_440
387689   61    0.107045           1.0          1.0          0.129232	   # 650_490
387690   61    0.107045           1.0          1.0          0.129232	   # 650_540
387691   61    0.107045           1.0          1.0          0.129232	   # 650_590
387692   61    0.107045           1.0          1.0          0.129232	   # 650_640
387693   61    0.0670476          1.0          1.0          0.133429	   # 700_090
387694   61    0.0670476          1.0          1.0          0.133429	   # 700_140
387695   61    0.0670476          1.0          1.0          0.133429	   # 700_190
387696   61    0.0670476          1.0          1.0          0.133429	   # 700_240
387697   61    0.0670476          1.0          1.0          0.133429	   # 700_290
387698   61    0.0670476          1.0          1.0          0.133429	   # 700_340
387699   61    0.0670476          1.0          1.0          0.133429	   # 700_390
387700   61    0.0670476          1.0          1.0          0.133429	   # 700_440
387701   61    0.0670476          1.0          1.0          0.133429	   # 700_490
387702   61    0.0670476          1.0          1.0          0.133429	   # 700_540
387703   61    0.0670476          1.0          1.0          0.133429	   # 700_590
387704   61    0.0670476          1.0          1.0          0.133429	   # 700_640
387705   61    0.0670476          1.0          1.0          0.133429	   # 700_690
387706   61    0.0431418          1.0          1.0          0.137455	   # 750_090
387707   61    0.0431418          1.0          1.0          0.137455	   # 750_140
387708   61    0.0431418          1.0          1.0          0.137455	   # 750_190
387709   61    0.0431418          1.0          1.0          0.137455	   # 750_240
387710   61    0.0431418          1.0          1.0          0.137455	   # 750_290
387711   61    0.0431418          1.0          1.0          0.137455	   # 750_340
387712   61    0.0431418          1.0          1.0          0.137455	   # 750_390
387713   61    0.0431418          1.0          1.0          0.137455	   # 750_440
387714   61    0.0431418          1.0          1.0          0.137455	   # 750_490
387715   61    0.0431418          1.0          1.0          0.137455	   # 750_540
387716   61    0.0431418          1.0          1.0          0.137455	   # 750_590
387717   61    0.0431418          1.0          1.0          0.137455	   # 750_640
387718   61    0.0431418          1.0          1.0          0.137455	   # 750_690
387719   61    0.0431418          1.0          1.0          0.137455	   # 750_740
387720   61    0.0283338          1.0          1.0          0.14171	   # 800_090
387721   61    0.0283338          1.0          1.0          0.14171	   # 800_140
387722   61    0.0283338          1.0          1.0          0.14171	   # 800_190
387723   61    0.0283338          1.0          1.0          0.14171	   # 800_240
387724   61    0.0283338          1.0          1.0          0.14171	   # 800_290
387725   61    0.0283338          1.0          1.0          0.14171	   # 800_340
387726   61    0.0283338          1.0          1.0          0.14171	   # 800_390
387727   61    0.0283338          1.0          1.0          0.14171	   # 800_440
387728   61    0.0283338          1.0          1.0          0.14171	   # 800_490
387729   61    0.0283338          1.0          1.0          0.14171	   # 800_540
387730   61    0.0283338          1.0          1.0          0.14171	   # 800_590
387731   61    0.0283338          1.0          1.0          0.14171	   # 800_640
387732   61    0.0283338          1.0          1.0          0.14171	   # 800_690
387733   61    0.0283338          1.0          1.0          0.14171	   # 800_740
387734   61    0.0283338          1.0          1.0          0.14171	   # 800_790
387735   61    0.0189612          1.0          1.0          0.14702        # 850_090
387736   61    0.0189612          1.0          1.0          0.14702        # 850_190
387737   61    0.0189612          1.0          1.0          0.14702        # 850_290
387738   61    0.0189612          1.0          1.0          0.14702        # 850_390
387739   61    0.0189612          1.0          1.0          0.14702        # 850_490
387740   61    0.0189612          1.0          1.0          0.14702        # 850_590
387741   61    0.0189612          1.0          1.0          0.14702        # 850_690
387742   61    0.0189612          1.0          1.0          0.14702        # 850_790
387743   61    0.0189612          1.0          1.0          0.14702        # 850_840
387744   61    0.0128895          1.0          1.0          0.152026       # 900_090
387745   61    0.0128895          1.0          1.0          0.152026       # 900_190
387746   61    0.0128895          1.0          1.0          0.152026       # 900_290
387747   61    0.0128895          1.0          1.0          0.152026       # 900_390
387748   61    0.0128895          1.0          1.0          0.152026       # 900_490
387749   61    0.0128895          1.0          1.0          0.152026       # 900_590
388000   61    0.0128895          1.0          1.0          0.152026       # 900_690
388001   61    0.0128895          1.0          1.0          0.152026       # 900_790
388002   61    0.0128895          1.0          1.0          0.152026       # 900_840
388003   61    0.0128895          1.0          1.0          0.152026       # 900_890
388004   61    0.00883465         1.0          1.0          0.157177       # 950_090
388005   61    0.00883465         1.0          1.0          0.157177       # 950_190
388006   61    0.00883465         1.0          1.0          0.157177       # 950_290
388007   61    0.00883465         1.0          1.0          0.157177       # 950_390
388008   61    0.00883465         1.0          1.0          0.157177       # 950_490
388009   61    0.00883465         1.0          1.0          0.157177       # 950_590
388010   61    0.00883465         1.0          1.0          0.157177       # 950_690
388011   61    0.00883465         1.0          1.0          0.157177       # 950_790
388012   61    0.00883465         1.0          1.0          0.157177       # 950_890
388013   61    0.00883465         1.0          1.0          0.157177       # 950_940
388014   61    0.00615134 	  1.0	       1.0	    0.162953 	   # 1000_090
388015   61    0.00615134	  1.0	       1.0	    0.162953       # 1000_190
388016   61    0.00615134         1.0	       1.0	    0.162953       # 1000_290
388017   61    0.00615134	  1.0	       1.0	    0.162953       # 1000_390
388018   61    0.00615134	  1.0	       1.0	    0.162953       # 1000_490
388019   61    0.00615134	  1.0	       1.0	    0.162953       # 1000_590
388020   61    0.00615134 	  1.0	       1.0	    0.162953       # 1000_690
388021   61    0.00615134 	  1.0	       1.0	    0.162953       # 1000_790
388022   61    0.00615134	  1.0	       1.0	    0.162953       # 1000_890
388023   61    0.00615134	  1.0	       1.0	    0.162953       # 1000_990
388024	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_090
388025	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_190
388026	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_290
388027	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_390
388028	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_490
388029	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_590
388030	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_690
388031	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_790
388032	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_890
388033	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_990
388034	 61    0.00432261	  1.0	       1.0	    0.167859	   # 1050_1040
388035   61    0.00307413         1.0          1.0          0.173377       # 1100_090
388036   61    0.00307413         1.0          1.0          0.173377       # 1100_190
388037   61    0.00307413         1.0          1.0          0.173377       # 1100_290
388038   61    0.00307413         1.0          1.0          0.173377       # 1100_390
388039   61    0.00307413         1.0          1.0          0.173377       # 1100_490
388040   61    0.00307413         1.0          1.0          0.173377       # 1100_590
388041   61    0.00307413         1.0          1.0          0.173377       # 1100_690
388042   61    0.00307413         1.0          1.0          0.173377       # 1100_790
388043   61    0.00307413         1.0          1.0          0.173377       # 1100_890
388044   61    0.00307413         1.0          1.0          0.173377       # 1100_990
388045   61    0.00307413         1.0          1.0          0.173377       # 1100_1090
388046   61    0.00221047         1.0          1.0          0.179259       # 1150_090
388047   61    0.00221047         1.0          1.0          0.179259       # 1150_190
388048   61    0.00221047         1.0          1.0          0.179259       # 1150_290
388049   61    0.00221047         1.0          1.0          0.179259       # 1150_390
