DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
# dM(C1,N1) scan with dM(N2,N1) = 2 * dM(C1,N1)
#
389810	 61	  0.174599         1.0          1.0	     0.132074
389811	 61       0.174599  	   1.0          1.0	     0.132074
389812	 61       0.174599  	   1.0          1.0	     0.132074
389813	 61       0.174599  	   1.0          1.0	     0.132074
389814	 61       0.174599  	   1.0          1.0	     0.132074
389815	 61       0.174599  	   1.0          1.0	     0.132074
389816	 61       0.107045  	   1.0          1.0	     0.129232
389817	 61       0.107045  	   1.0          1.0	     0.129232
389818	 61       0.107045  	   1.0          1.0	     0.129232
389819	 61       0.107045  	   1.0          1.0	     0.129232
389820	 61       0.107045  	   1.0          1.0	     0.129232
389821	 61       0.107045  	   1.0          1.0	     0.129232
389822	 61       0.0670476 	   1.0          1.0	     0.133429
389823	 61       0.0670476 	   1.0          1.0	     0.133429
389824	 61       0.0670476 	   1.0          1.0	     0.133429
389825	 61       0.0670476 	   1.0          1.0	     0.133429
389826	 61       0.0670476 	   1.0          1.0	     0.133429
389827	 61       0.0670476 	   1.0          1.0	     0.133429
389828	 61       0.0431418 	   1.0          1.0	     0.137455
389829	 61       0.0431418 	   1.0          1.0	     0.137455
389830	 61       0.0431418 	   1.0          1.0	     0.137455
389831	 61       0.0431418 	   1.0          1.0	     0.137455
389832	 61       0.0431418 	   1.0          1.0	     0.137455
389833	 61       0.0431418 	   1.0          1.0	     0.137455
389834	 61       0.0283338 	   1.0          1.0	     0.14171
389835	 61       0.0283338 	   1.0          1.0	     0.14171
389836	 61       0.0283338 	   1.0          1.0	     0.14171
389837	 61       0.0283338 	   1.0          1.0	     0.14171
389838	 61       0.0283338 	   1.0          1.0	     0.14171
389839	 61       0.0283338 	   1.0          1.0	     0.14171
389840	 61       0.0189612 	   1.0          1.0	     0.14702
389841	 61       0.0189612 	   1.0          1.0	     0.14702
389842	 61       0.0189612 	   1.0          1.0	     0.14702
389843	 61       0.0189612 	   1.0          1.0	     0.14702
389844	 61       0.0189612 	   1.0          1.0	     0.14702
389845	 61       0.0189612 	   1.0          1.0	     0.14702
389846	 61       0.0128895 	   1.0          1.0	     0.152026
389847	 61       0.0128895 	   1.0          1.0	     0.152026
389848	 61       0.0128895 	   1.0          1.0	     0.152026
389849	 61       0.0128895 	   1.0          1.0	     0.152026
389850	 61       0.0128895 	   1.0          1.0	     0.152026
389851	 61       0.0128895 	   1.0          1.0	     0.152026
389852	 61       0.00883465	   1.0          1.0	     0.157177
389853	 61       0.00883465	   1.0          1.0	     0.157177
389854	 61       0.00883465	   1.0          1.0	     0.157177
389855	 61       0.00883465	   1.0          1.0	     0.157177
389856	 61       0.00883465	   1.0          1.0	     0.157177
389857	 61       0.00883465	   1.0          1.0	     0.157177
389858	 61       0.00615134	   1.0          1.0	     0.162953
