# DSID	FS	crosssection	k-factor	FilterEff	Tot_error
402900	157	0.0567824	1	1	0.063709
402901	157	0.0212684	1	1	0.0705109
402902	157	0.0091182	1	1	0.0683776
402903	157	0.0091182	1	1	0.0683776
402904	157	0.0041879	1	1	0.0725871
402905	157	0.8833383	1	1	0.066011
402906	157	0.0567824	1	1	0.063709
402907	157	0.8833383	1	0.25457	0.066011
402908	157	0.1868037	1	0.31564	0.062879
402909	157	0.0567824	1	0.34956	0.063709
402910	157	0.0212684	1	0.37891	0.0705109
402911	157	0.0091182	1	0.40158	0.0683776
402912	157	0.8833383	1	0.25773	0.066011
402913	157	0.1868037	1	0.3136	0.062879
402914	157	0.0567824	1	0.35726	0.063709
402915	157	0.0212684	1	0.37961	0.0705109
402916	157	0.0091182	1	0.40092	0.0683776
402917	157	0.0041879	1	0.41638	0.0725871
402918	157	15.81502502	1	0.06852	0.08510432
402919	157	0.0567824	1	0.35537	0.063709
402920	157	0.0212684	1	0.38105	0.0705109
402921	157	0.0091182	1	0.40019	0.0683776
402922	157	0.0041879	1	0.41608	0.0725871
402923	157	0.0020772	1	0.43365	0.0761917
402924	157	0.0567824	1	0.34978	0.063709
402925	157	0.0212684	1	0.37983	0.0705109
402926	157	0.0091182	1	0.40569	0.0683776
402927	157	0.0041879	1	0.41875	0.0725871
402928	157	0.0020772	1	0.43195	0.0761917
402929	157	0.0010836	1	0.44282	0.0855453
402930	157	0.0567824	1	0.35736	0.063709
402931	157	0.0212684	1	0.38034	0.0705109
402932	157	0.0091182	1	0.39509	0.0683776
402933	157	0.0041879	1	0.41573	0.0725871
402934	157	0.0020772	1	0.43282	0.0761917
402935	115	0.0816798	1	1	0.0596193
402936	115	0.0317084	1	1	0.0640101
402937	115	0.0140084	1	1	0.0693236
402938	115	0.0140084	1	1	0.0693236
402939	115	0.0066208	1	1	0.0744892
402940	115	1.146769	1	1	0.0572541
402941	115	0.0816798	1	1	0.0596193
402942	115	1.146769	1	0.26982	0.0572541
402943	115	0.2560867	1	0.32789	0.0543304
402944	115	0.0816798	1	0.35699	0.0596193
402945	115	0.0317084	1	0.3841	0.0640101
402946	115	0.0140084	1	0.40474	0.0693236
402947	115	1.146769	1	0.27258	0.0572541
402948	115	0.2560867	1	0.32559	0.0543304
402949	115	0.0816798	1	0.36204	0.0596193
402950	115	0.0317084	1	0.38106	0.0640101
402951	115	0.0140084	1	0.40475	0.0693236
402952	115	0.0066208	1	0.41425	0.0744892
402953	115	19.02772384	1	0.074529	0.08636205
402954	115	0.0816798	1	0.3619	0.0596193
402955	115	0.0317084	1	0.3813	0.0640101
402956	115	0.0140084	1	0.40878	0.0693236
402957	115	0.0066208	1	0.41846	0.0744892
402958	115	0.0033402	1	0.43365	0.0761448
402959	115	0.0816798	1	0.358	0.0596193
402960	115	0.0317084	1	0.38365	0.0640101
402961	115	0.0140084	1	0.4039	0.0693236
402962	115	0.0066208	1	0.41555	0.0744892
402963	115	0.0033402	1	0.43293	0.0761448
402964	115	0.0017529	1	0.44444	0.0787823
402965	115	0.0816798	1	0.35733	0.0596193
402966	115	0.0317084	1	0.38471	0.0640101
402967	115	0.0140084	1	0.40328	0.0693236
402968	115	0.0066208	1	0.42211	0.0744892
402969	115	0.0033402	1	0.42931	0.0761448
402935	117	0.0362407	1	1	0.0753853
402936	117	0.0129679	1	1	0.0795859
402937	117	0.0053581	1	1	0.0839635
402938	117	0.0053581	1	1	0.0839635
402939	117	0.0023961	1	1	0.0925519
402940	117	0.6306551	1	1	0.0794314
402941	117	0.0362407	1	1	0.0753853
402942	117	0.6306551	1	0.26982	0.0794314
402943	117	0.1252241	1	0.32789	0.0738513
402944	117	0.0362407	1	0.35699	0.0753853
402945	117	0.0129679	1	0.3841	0.0795859
402946	117	0.0053581	1	0.40474	0.0839635
402947	117	0.6306551	1	0.27258	0.0794314
402948	117	0.1252241	1	0.32559	0.0738513
402949	117	0.0362407	1	0.36204	0.0753853
402950	117	0.0129679	1	0.38106	0.0795859
402951	117	0.0053581	1	0.40475	0.0839635
402952	117	0.0023961	1	0.41425	0.0925519
402953	117	12.2893406	1	0.074529	0.1013128
402954	117	0.0362407	1	0.3619	0.0753853
402955	117	0.0129679	1	0.3813	0.0795859
402956	117	0.0053581	1	0.40878	0.0839635
402957	117	0.0023961	1	0.41846	0.0925519
402958	117	0.0011584	1	0.43365	0.0940591
402959	117	0.0362407	1	0.358	0.0753853
402960	117	0.0129679	1	0.38365	0.0795859
402961	117	0.0053581	1	0.4039	0.0839635
402962	117	0.0023961	1	0.41555	0.0925519
402963	117	0.0011584	1	0.43293	0.0940591
402964	117	0.0005829	1	0.44444	0.1030823
402965	117	0.0362407	1	0.35733	0.0753853
402966	117	0.0129679	1	0.38471	0.0795859
402967	117	0.0053581	1	0.40328	0.0839635
402968	117	0.0023961	1	0.42211	0.0925519
402969	117	0.0011584	1	0.42931	0.0940591
