# contact: jmaurer@cern.ch, cross-sections from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# date: 24/08/2015
DSID	FS	CROSSECTION[pb]	K-FACTOR	FILTEREFF	REL.UNCERT
372300	51	3.786610	1.0 	0.099543	0.136877
372301	51	1.835370	1.0 	0.101710	0.136985
372302	51	1.835370	1.0 	0.097245	0.136985
372303	51	1.835370	1.0 	0.101470	0.136985
372304	51	0.948333	1.0 	0.101890	0.134559
372305	51	0.948333	1.0 	0.101610	0.134559
372306	51	0.948333	1.0 	0.100390	0.134559
372307	51	0.948333	1.0 	0.101930	0.134559
372308	51	0.518480	1.0 	0.104490	0.133797
372309	51	0.518480	1.0 	0.102690	0.133797
372310	51	0.518480	1.0 	0.101250	0.133797
372311	51	0.518480	1.0 	0.101500	0.133797
372312	51	0.518480	1.0 	0.101590	0.133797
372313	51	0.296128	1.0 	0.101110	0.132687
372314	51	0.296128	1.0 	0.101270	0.132687
372315	51	0.296128	1.0 	0.102460	0.132687
372316	51	0.296128	1.0 	0.100440	0.132687
372317	51	0.296128	1.0 	0.099431	0.132687
372318	51	0.174599	1.0 	0.105590	0.132074
372319	51	0.174599	1.0 	0.102770	0.132074
372320	51	0.174599	1.0 	0.103990	0.132074
372321	51	0.174599	1.0 	0.101270	0.132074
372322	51	0.174599	1.0 	0.101620	0.132074
372323	51	0.174599	1.0 	0.102350	0.132074
372324	51	0.107045	1.0 	0.103780	0.129232
372325	51	0.107045	1.0 	0.102860	0.129232
372326	51	0.107045	1.0 	0.103690	0.129232
372327	51	0.107045	1.0 	0.102230	0.129232
372328	51	0.107045	1.0 	0.102570	0.129232
372329	51	0.107045	1.0 	0.101310	0.129232
372330	51	0.067048	1.0 	0.106290	0.133429
372331	51	0.067048	1.0 	0.104240	0.133429
372332	51	0.067048	1.0 	0.102960	0.133429
372333	51	0.067048	1.0 	0.102360	0.133429
372334	51	0.067048	1.0 	0.101660	0.133429
372335	51	0.067048	1.0 	0.101300	0.133429
372336	51	0.067048	1.0 	0.100820	0.133429
372337	51	0.043142	1.0 	0.106170	0.137455
372338	51	0.043142	1.0 	0.104330	0.137455
372339	51	0.043142	1.0 	0.105470	0.137455
372340	51	0.043142	1.0 	0.103360	0.137455
372341	51	0.043142	1.0 	0.101940	0.137455
372342	51	0.043142	1.0 	0.104170	0.137455
372343	51	0.043142	1.0 	0.100650	0.137455
372344	51	0.028334	1.0 	0.106950	0.141710
372345	51	0.028334	1.0 	0.104100	0.141710
372346	51	0.028334	1.0 	0.104620	0.141710
372347	51	0.028334	1.0 	0.104250	0.141710
372348	51	0.028334	1.0 	0.101110	0.141710
372349	51	0.028334	1.0 	0.103030	0.141710
372350	51	0.028334	1.0 	0.102960	0.141710
372351	51	0.028334	1.0 	0.101910	0.141710
372352	51	0.018961	1.0 	0.105600	0.147020
372353	51	0.018961	1.0 	0.104690	0.147020
372354	51	0.018961	1.0 	0.104450	0.147020
372355	51	0.018961	1.0 	0.102700	0.147020
372356	51	0.018961	1.0 	0.103650	0.147020
372357	51	0.018961	1.0 	0.102840	0.147020
372358	51	0.018961	1.0 	0.102820	0.147020
372359	51	0.018961	1.0 	0.101870	0.147020
372360	51	0.012889	1.0 	0.108290	0.152026
372361	51	0.012889	1.0 	0.106680	0.152026
372362	51	0.012889	1.0 	0.105950	0.152026
372363	51	0.012889	1.0 	0.103730	0.152026
372364	51	0.012889	1.0 	0.103540	0.152026
372365	51	0.012889	1.0 	0.102600	0.152026
372366	51	0.012889	1.0 	0.102960	0.152026
372367	51	0.012889	1.0 	0.101670	0.152026
372368	51	0.012889	1.0 	0.100720	0.152026
