SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
371200      2      9.2161817929   1.00000000    1.00000000   0.13836910
371201      2      9.2161817929   1.00000000    1.00000000   0.13836910
371202      2      9.2161817929   1.00000000    1.00000000   0.13836910
371203      2      9.2161817929   1.00000000    1.00000000   0.13836910
371204      2      9.2161817929   1.00000000    1.00000000   0.13836910
371205      2      3.5251047407   1.00000000    1.00000000   0.14103378
371206      2      1.4891045919   1.00000000    1.00000000   0.15016704
371207      2      1.4891045919   1.00000000    1.00000000   0.15016704
371208      2      1.4891045919   1.00000000    1.00000000   0.15016704
371209      2      1.4891045919   1.00000000    1.00000000   0.15016704
371210      2      1.4891045919   1.00000000    1.00000000   0.15016704
371211      2      1.4891045919   1.00000000    1.00000000   0.15016704
371212      2      1.4891045919   1.00000000    1.00000000   0.15016704
371213      2      0.6774779078   1.00000000    1.00000000   0.15876178
371214      2      0.6774779078   1.00000000    1.00000000   0.15876178
371215      2      0.6774779078   1.00000000    1.00000000   0.15876178
371216      2      0.3253876883   1.00000000    1.00000000   0.16758000
371217      2      0.3253876883   1.00000000    1.00000000   0.16758000
371218      2      0.3253876883   1.00000000    1.00000000   0.16758000
371219      2      0.3253876883   1.00000000    1.00000000   0.16758000
371220      2      0.3253876883   1.00000000    1.00000000   0.16758000
371221      2      0.3253876883   1.00000000    1.00000000   0.16758000
371222      2      0.3253876883   1.00000000    1.00000000   0.16758000
371223      2      0.1634905706   1.00000000    1.00000000   0.17640239
371224      2      0.1634905706   1.00000000    1.00000000   0.17640239
371225      2      0.1634905706   1.00000000    1.00000000   0.17640239
371226      2      0.1634905706   1.00000000    1.00000000   0.17640239
371227      2      0.1634905706   1.00000000    1.00000000   0.17640239
371228      2      0.1634905706   1.00000000    1.00000000   0.17640239
371229      2      0.0856417975   1.00000000    1.00000000   0.18481426
371230      2      0.0856417975   1.00000000    1.00000000   0.18481426
371231      2      0.0856417975   1.00000000    1.00000000   0.18481426
371232      2      0.0856417975   1.00000000    1.00000000   0.18481426
371233      2      0.0856417975   1.00000000    1.00000000   0.18481426
371234      2      0.0856417975   1.00000000    1.00000000   0.18481426
371235      2      0.0856417975   1.00000000    1.00000000   0.18481426
371236      2      0.0856417975   1.00000000    1.00000000   0.18481426
371237      2      0.0459823026   1.00000000    1.00000000   0.19822566
371238      2      0.0459823026   1.00000000    1.00000000   0.19822566
371239      2      0.0459823026   1.00000000    1.00000000   0.19822566
371240      2      0.0459823026   1.00000000    1.00000000   0.19822566
371241      2      0.0459823026   1.00000000    1.00000000   0.19822566
371242      2      0.0459823026   1.00000000    1.00000000   0.19822566
371243      2      0.0459823026   1.00000000    1.00000000   0.19822566
371244      2      0.0459823026   1.00000000    1.00000000   0.19822566
371245      2      0.0459823026   1.00000000    1.00000000   0.19822566
371246      2      0.0252601268   1.00000000    1.00000000   0.21096327
371247      2      0.0252601268   1.00000000    1.00000000   0.21096327
371248      2      0.0252601268   1.00000000    1.00000000   0.21096327
371249      2      0.0252601268   1.00000000    1.00000000   0.21096327
371250      2      0.0252601268   1.00000000    1.00000000   0.21096327
371251      2      0.0252601268   1.00000000    1.00000000   0.21096327
371252      2      0.0252601268   1.00000000    1.00000000   0.21096327
371253      2      0.0252601268   1.00000000    1.00000000   0.21096327
371254      2      0.0252601268   1.00000000    1.00000000   0.21096327
371255      2      0.0141714505   1.00000000    1.00000000   0.22892537
371256      2      0.0141714505   1.00000000    1.00000000   0.22892537
371257      2      0.0141714505   1.00000000    1.00000000   0.22892537
371258      2      0.0141714505   1.00000000    1.00000000   0.22892537
371259      2      0.0141714505   1.00000000    1.00000000   0.22892537
371260      2      0.0141714505   1.00000000    1.00000000   0.22892537
371261      2      0.0141714505   1.00000000    1.00000000   0.22892537
371262      2      0.0141714505   1.00000000    1.00000000   0.22892537
371263      2      0.0141714505   1.00000000    1.00000000   0.22892537
371264      2      0.0080897601   1.00000000    1.00000000   0.24437219
371265      2      0.0080897601   1.00000000    1.00000000   0.24437219
371266      2      0.0080897601   1.00000000    1.00000000   0.24437219
371267      2      0.0080897601   1.00000000    1.00000000   0.24437219
371268      2      0.0080897601   1.00000000    1.00000000   0.24437219
371269      2      0.0080897601   1.00000000    1.00000000   0.24437219
371270      2      0.0080897601   1.00000000    1.00000000   0.24437219
371271      2      0.0080897601   1.00000000    1.00000000   0.24437219
371272      2      0.0080897601   1.00000000    1.00000000   0.24437219
371273      2      0.0046974684   1.00000000    1.00000000   0.26256696
371274      2      0.0046974684   1.00000000    1.00000000   0.26256696
371275      2      0.0046974684   1.00000000    1.00000000   0.26256696
371276      2      0.0046974684   1.00000000    1.00000000   0.26256696
371277      2      0.0046974684   1.00000000    1.00000000   0.26256696
371278      2      0.0046974684   1.00000000    1.00000000   0.26256696
371279      2      0.0046974684   1.00000000    1.00000000   0.26256696
371280      2      0.0046974684   1.00000000    1.00000000   0.26256696
371281      2      0.0046974684   1.00000000    1.00000000   0.26256696
371282      2      0.0027583649   1.00000000    1.00000000   0.28245753
371283      2      0.0027583649   1.00000000    1.00000000   0.28245753
371284      2      0.0027583649   1.00000000    1.00000000   0.28245753
371285      2      0.0027583649   1.00000000    1.00000000   0.28245753
371286      2      0.0027583649   1.00000000    1.00000000   0.28245753
371287      2      0.0027583649   1.00000000    1.00000000   0.28245753
371288      2      0.0027583649   1.00000000    1.00000000   0.28245753
371289      2      0.0027583649   1.00000000    1.00000000   0.28245753
371290      2      0.0027583649   1.00000000    1.00000000   0.28245753
371291      2      0.0016337908   1.00000000    1.00000000   0.30037747
371292      2      0.0016337908   1.00000000    1.00000000   0.30037747
371293      2      0.0016337908   1.00000000    1.00000000   0.30037747
371294      2      0.0016337908   1.00000000    1.00000000   0.30037747
371295      2      0.0016337908   1.00000000    1.00000000   0.30037747
371296      2      0.0016337908   1.00000000    1.00000000   0.30037747
371297      2      0.0016337908   1.00000000    1.00000000   0.30037747
371298      2      0.0016337908   1.00000000    1.00000000   0.30037747
371299      2      0.0016337908   1.00000000    1.00000000   0.30037747
371300      2      0.0009802603   1.00000000    1.00000000   0.31952110
371301      2      0.0009802603   1.00000000    1.00000000   0.31952110
371302      2      0.0009802603   1.00000000    1.00000000   0.31952110
371303      2      0.0009802603   1.00000000    1.00000000   0.31952110
371304      2      0.0009802603   1.00000000    1.00000000   0.31952110
371305      2      0.0009802603   1.00000000    1.00000000   0.31952110
371306      2      0.0009802603   1.00000000    1.00000000   0.31952110
371307      2      0.0009802603   1.00000000    1.00000000   0.31952110
371308      2      0.0009802603   1.00000000    1.00000000   0.31952110
371309      2      0.0856417975   1.00000000    1.00000000   0.18481426
371310      2      0.0459823026   1.00000000    1.00000000   0.19822566
371311      2      0.0459823026   1.00000000    1.00000000   0.19822566
371312      2      0.0252601268   1.00000000    1.00000000   0.21096327
371313      2      0.0252601268   1.00000000    1.00000000   0.21096327
371314      2      0.0252601268   1.00000000    1.00000000   0.21096327
371315      2      0.0141714505   1.00000000    1.00000000   0.22892537
371316      2      0.0141714505   1.00000000    1.00000000   0.22892537
371317      2      0.0080897601   1.00000000    1.00000000   0.24437219
371318      2      0.0080897601   1.00000000    1.00000000   0.24437219
371319      2      0.0046974684   1.00000000    1.00000000   0.26256696
371320      2      0.0046974684   1.00000000    1.00000000   0.26256696
371321      2      0.0027583649   1.00000000    1.00000000   0.28245753
371322      2      0.0005914507   1.00000000    1.00000000   0.34038347
371323      2      0.0005914507   1.00000000    1.00000000   0.34038347
371324      2      0.0005914507   1.00000000    1.00000000   0.34038347
371325      2      0.0005914507   1.00000000    1.00000000   0.34038347
371326      2      0.0003590692   1.00000000    1.00000000   0.36056504
371327      2      0.0003590692   1.00000000    1.00000000   0.36056504
371328      2      0.0003590692   1.00000000    1.00000000   0.36056504
371329      2      0.0003590692   1.00000000    1.00000000   0.36056504
