SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
370250      2      0.6774779078   1.00000000    1.00000000   0.15876178
370251      2      0.6774779078   1.00000000    1.00000000   0.15876178
370252      2      0.6774779078   1.00000000    1.00000000   0.15876178
370253      2      0.6774779078   1.00000000    1.00000000   0.15876178
370254      2      0.6774779078   1.00000000    1.00000000   0.15876178
370255      2      0.6774779078   1.00000000    1.00000000   0.15876178
370256      2      0.3253876883   1.00000000    1.00000000   0.16758000
370257      2      0.3253876883   1.00000000    1.00000000   0.16758000
370258      2      0.3253876883   1.00000000    1.00000000   0.16758000
370259      2      0.3253876883   1.00000000    1.00000000   0.16758000
370260      2      0.3253876883   1.00000000    1.00000000   0.16758000
370261      2      0.3253876883   1.00000000    1.00000000   0.16758000
370262      2      0.1634905706   1.00000000    1.00000000   0.17640239
370263      2      0.1634905706   1.00000000    1.00000000   0.17640239
370264      2      0.1634905706   1.00000000    1.00000000   0.17640239
370265      2      0.1634905706   1.00000000    1.00000000   0.17640239
370266      2      0.1634905706   1.00000000    1.00000000   0.17640239
370267      2      0.1634905706   1.00000000    1.00000000   0.17640239
370268      2      0.1634905706   1.00000000    1.00000000   0.17640239
370269      2      0.0856417975   1.00000000    1.00000000   0.18481426
370270      2      0.0856417975   1.00000000    1.00000000   0.18481426
370271      2      0.0856417975   1.00000000    1.00000000   0.18481426
370272      2      0.0856417975   1.00000000    1.00000000   0.18481426
370273      2      0.0856417975   1.00000000    1.00000000   0.18481426
370274      2      0.0856417975   1.00000000    1.00000000   0.18481426
370275      2      0.0856417975   1.00000000    1.00000000   0.18481426
370276      2      0.0459823026   1.00000000    1.00000000   0.19822566
370277      2      0.0459823026   1.00000000    1.00000000   0.19822566
370278      2      0.0459823026   1.00000000    1.00000000   0.19822566
370279      2      0.0459823026   1.00000000    1.00000000   0.19822566
370280      2      0.0459823026   1.00000000    1.00000000   0.19822566
370281      2      0.0459823026   1.00000000    1.00000000   0.19822566
370282      2      0.0459823026   1.00000000    1.00000000   0.19822566
370283      2      0.0459823026   1.00000000    1.00000000   0.19822566
370284      2      0.0252601268   1.00000000    1.00000000   0.21096327
370285      2      0.0252601268   1.00000000    1.00000000   0.21096327
370286      2      0.0252601268   1.00000000    1.00000000   0.21096327
370287      2      0.0252601268   1.00000000    1.00000000   0.21096327
370288      2      0.0252601268   1.00000000    1.00000000   0.21096327
370289      2      0.0252601268   1.00000000    1.00000000   0.21096327
370290      2      0.0252601268   1.00000000    1.00000000   0.21096327
370291      2      0.0252601268   1.00000000    1.00000000   0.21096327
370292      2      0.0141714505   1.00000000    1.00000000   0.22892537
370293      2      0.0141714505   1.00000000    1.00000000   0.22892537
370294      2      0.0141714505   1.00000000    1.00000000   0.22892537
370295      2      0.0141714505   1.00000000    1.00000000   0.22892537
370296      2      0.0141714505   1.00000000    1.00000000   0.22892537
370297      2      0.0141714505   1.00000000    1.00000000   0.22892537
370298      2      0.0141714505   1.00000000    1.00000000   0.22892537
370299      2      0.0141714505   1.00000000    1.00000000   0.22892537
370300      2      0.0141714505   1.00000000    1.00000000   0.22892537
370301      2      0.0080897601   1.00000000    1.00000000   0.24437219
370302      2      0.0080897601   1.00000000    1.00000000   0.24437219
370303      2      0.0080897601   1.00000000    1.00000000   0.24437219
370304      2      0.0080897601   1.00000000    1.00000000   0.24437219
370305      2      0.0080897601   1.00000000    1.00000000   0.24437219
370306      2      0.0080897601   1.00000000    1.00000000   0.24437219
370307      2      0.0080897601   1.00000000    1.00000000   0.24437219
370308      2      0.0080897601   1.00000000    1.00000000   0.24437219
370309      2      0.0080897601   1.00000000    1.00000000   0.24437219
370310      2      0.0046974684   1.00000000    1.00000000   0.26256696
370311      2      0.0046974684   1.00000000    1.00000000   0.26256696
370312      2      0.0046974684   1.00000000    1.00000000   0.26256696
370313      2      0.0046974684   1.00000000    1.00000000   0.26256696
370314      2      0.0046974684   1.00000000    1.00000000   0.26256696
370315      2      0.0046974684   1.00000000    1.00000000   0.26256696
370316      2      0.0046974684   1.00000000    1.00000000   0.26256696
370317      2      0.0046974684   1.00000000    1.00000000   0.26256696
370318      2      0.0046974684   1.00000000    1.00000000   0.26256696
370319      2      0.0046974684   1.00000000    1.00000000   0.26256696
370320      2      0.0027583649   1.00000000    1.00000000   0.28245753
370321      2      0.0027583649   1.00000000    1.00000000   0.28245753
370322      2      0.0027583649   1.00000000    1.00000000   0.28245753
370323      2      0.0027583649   1.00000000    1.00000000   0.28245753
370324      2      0.0027583649   1.00000000    1.00000000   0.28245753
370325      2      0.0027583649   1.00000000    1.00000000   0.28245753
370326      2      0.0027583649   1.00000000    1.00000000   0.28245753
370327      2      0.0027583649   1.00000000    1.00000000   0.28245753
370328      2      0.0027583649   1.00000000    1.00000000   0.28245753
370329      2      0.0027583649   1.00000000    1.00000000   0.28245753
370330      2      0.0016337908   1.00000000    1.00000000   0.30037747
370331      2      0.0016337908   1.00000000    1.00000000   0.30037747
370332      2      0.0016337908   1.00000000    1.00000000   0.30037747
370333      2      0.0016337908   1.00000000    1.00000000   0.30037747
370334      2      0.0016337908   1.00000000    1.00000000   0.30037747
370335      2      0.0016337908   1.00000000    1.00000000   0.30037747
370336      2      0.0016337908   1.00000000    1.00000000   0.30037747
370337      2      0.0016337908   1.00000000    1.00000000   0.30037747
370338      2      0.0016337908   1.00000000    1.00000000   0.30037747
370339      2      0.0016337908   1.00000000    1.00000000   0.30037747
370340      2      0.0016337908   1.00000000    1.00000000   0.30037747
370341      2      0.0009802603   1.00000000    1.00000000   0.31952110
370342      2      0.0009802603   1.00000000    1.00000000   0.31952110
370343      2      0.0009802603   1.00000000    1.00000000   0.31952110
370344      2      0.0009802603   1.00000000    1.00000000   0.31952110
370345      2      0.0009802603   1.00000000    1.00000000   0.31952110
370346      2      0.0009802603   1.00000000    1.00000000   0.31952110
370347      2      0.0009802603   1.00000000    1.00000000   0.31952110
370348      2      0.0009802603   1.00000000    1.00000000   0.31952110
370349      2      0.0009802603   1.00000000    1.00000000   0.31952110
370350      2      0.0009802603   1.00000000    1.00000000   0.31952110
370351      2      0.0009802603   1.00000000    1.00000000   0.31952110
