SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
371350      2      0.6774779078   1.00000000    1.00000000   0.15876178
371351      2      0.3253876883   1.00000000    1.00000000   0.16758000
371352      2      0.1634905706   1.00000000    1.00000000   0.17640239
371353      2      0.0856417975   1.00000000    1.00000000   0.18481426
371354      2      0.0459823026   1.00000000    1.00000000   0.19822566
371355      2      0.0252601268   1.00000000    1.00000000   0.21096327
371356      2      0.0141714505   1.00000000    1.00000000   0.22892537
371357      2      0.0080897601   1.00000000    1.00000000   0.24437219
371358      2      0.0046974684   1.00000000    1.00000000   0.26256696
371359      2      0.0027583649   1.00000000    1.00000000   0.28245753
371360      2      0.0016337908   1.00000000    1.00000000   0.30037747
371361      2      0.0009802603   1.00000000    1.00000000   0.31952110
371362      2      0.0005914507   1.00000000    1.00000000   0.34038347
371363      2      0.0003590692   1.00000000    1.00000000   0.36056504
371364      2      0.0002189080   1.00000000    1.00000000   0.38614073
371365      2      0.0001338845   1.00000000    1.00000000   0.40878758
371366      2      0.0000819609   1.00000000    1.00000000   0.43187227
371367      2      0.6774779078   1.00000000    1.00000000   0.15876178
371368      2      0.3253876883   1.00000000    1.00000000   0.16758000
371369      2      0.1634905706   1.00000000    1.00000000   0.17640239
371370      2      0.0856417975   1.00000000    1.00000000   0.18481426
371371      2      0.0459823026   1.00000000    1.00000000   0.19822566
371372      2      0.0252601268   1.00000000    1.00000000   0.21096327
371373      2      0.0141714505   1.00000000    1.00000000   0.22892537
371374      2      0.0080897601   1.00000000    1.00000000   0.24437219
371375      2      0.0046974684   1.00000000    1.00000000   0.26256696
371376      2      0.0027583649   1.00000000    1.00000000   0.28245753
371377      2      0.0016337908   1.00000000    1.00000000   0.30037747
371378      2      0.0009802603   1.00000000    1.00000000   0.31952110
371379      2      0.0005914507   1.00000000    1.00000000   0.34038347
371380      2      0.0003590692   1.00000000    1.00000000   0.36056504
371381      2      0.0002189080   1.00000000    1.00000000   0.38614073
371382      2      0.0001338845   1.00000000    1.00000000   0.40878758
371383      2      0.0000819609   1.00000000    1.00000000   0.43187227
371384      2      0.6774779078   1.00000000    1.00000000   0.15876178
371385      2      0.3253876883   1.00000000    1.00000000   0.16758000
371386      2      0.1634905706   1.00000000    1.00000000   0.17640239
371387      2      0.0856417975   1.00000000    1.00000000   0.18481426
371388      2      0.0459823026   1.00000000    1.00000000   0.19822566
371389      2      0.0252601268   1.00000000    1.00000000   0.21096327
371390      2      0.0141714505   1.00000000    1.00000000   0.22892537
371391      2      0.0080897601   1.00000000    1.00000000   0.24437219
371392      2      0.0046974684   1.00000000    1.00000000   0.26256696
371393      2      0.0027583649   1.00000000    1.00000000   0.28245753
371394      2      0.0016337908   1.00000000    1.00000000   0.30037747
371395      2      0.0009802603   1.00000000    1.00000000   0.31952110
371396      2      0.0005914507   1.00000000    1.00000000   0.34038347
371397      2      0.0003590692   1.00000000    1.00000000   0.36056504
371398      2      0.0002189080   1.00000000    1.00000000   0.38614073
371399      2      0.0001338845   1.00000000    1.00000000   0.40878758
371400      2      0.0000819609   1.00000000    1.00000000   0.43187227
371401      2      0.6774779078   1.00000000    1.00000000   0.15876178
371402      2      0.3253876883   1.00000000    1.00000000   0.16758000
371403      2      0.1634905706   1.00000000    1.00000000   0.17640239
371404      2      0.0856417975   1.00000000    1.00000000   0.18481426
371405      2      0.0459823026   1.00000000    1.00000000   0.19822566
371406      2      0.0252601268   1.00000000    1.00000000   0.21096327
371407      2      0.0141714505   1.00000000    1.00000000   0.22892537
371408      2      0.0080897601   1.00000000    1.00000000   0.24437219
371409      2      0.0046974684   1.00000000    1.00000000   0.26256696
371410      2      0.0027583649   1.00000000    1.00000000   0.28245753
371411      2      0.0016337908   1.00000000    1.00000000   0.30037747
371412      2      0.0009802603   1.00000000    1.00000000   0.31952110
371413      2      0.0005914507   1.00000000    1.00000000   0.34038347
371414      2      0.0003590692   1.00000000    1.00000000   0.36056504
371415      2      0.0002189080   1.00000000    1.00000000   0.38614073
371416      2      0.0001338845   1.00000000    1.00000000   0.40878758
371417      2      0.0000819609   1.00000000    1.00000000   0.43187227
371418      2      0.6774779078   1.00000000    1.00000000   0.15876178
371419      2      0.3253876883   1.00000000    1.00000000   0.16758000
371420      2      0.1634905706   1.00000000    1.00000000   0.17640239
371421      2      0.0856417975   1.00000000    1.00000000   0.18481426
371422      2      0.0459823026   1.00000000    1.00000000   0.19822566
371423      2      0.0252601268   1.00000000    1.00000000   0.21096327
371424      2      0.0141714505   1.00000000    1.00000000   0.22892537
371425      2      0.0080897601   1.00000000    1.00000000   0.24437219
371426      2      0.0046974684   1.00000000    1.00000000   0.26256696
371427      2      0.0027583649   1.00000000    1.00000000   0.28245753
371428      2      0.0016337908   1.00000000    1.00000000   0.30037747
371429      2      0.0009802603   1.00000000    1.00000000   0.31952110
371430      2      0.0005914507   1.00000000    1.00000000   0.34038347
371431      2      0.0003590692   1.00000000    1.00000000   0.36056504
371432      2      0.0002189080   1.00000000    1.00000000   0.38614073
371433      2      0.0001338845   1.00000000    1.00000000   0.40878758
371434      2      0.0000819609   1.00000000    1.00000000   0.43187227
371435      2      0.6774779078   1.00000000    1.00000000   0.15876178
371436      2      0.3253876883   1.00000000    1.00000000   0.16758000
371437      2      0.1634905706   1.00000000    1.00000000   0.17640239
371438      2      0.0856417975   1.00000000    1.00000000   0.18481426
371439      2      0.0459823026   1.00000000    1.00000000   0.19822566
371440      2      0.0252601268   1.00000000    1.00000000   0.21096327
371441      2      0.0141714505   1.00000000    1.00000000   0.22892537
371442      2      0.0080897601   1.00000000    1.00000000   0.24437219
371443      2      0.0046974684   1.00000000    1.00000000   0.26256696
371444      2      0.0027583649   1.00000000    1.00000000   0.28245753
371445      2      0.0016337908   1.00000000    1.00000000   0.30037747
371446      2      0.0009802603   1.00000000    1.00000000   0.31952110
