# SignalUncertainties for dilepton edge signal grid SM_GG_N2_SLN1
# 2L-filter efficiencies applied
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
372450      2     98.1609998979   1.00000000   0.60008000    0.13935352
372451      2      9.2161817929   1.00000000   0.62504000    0.13836910
372452      2      9.2161817929   1.00000000   0.60442000    0.13836910
372453      2      1.4891045919   1.00000000   0.63400000    0.15016704
372454      2      1.4891045919   1.00000000   0.62459000    0.15016704
372455      2      1.4891045919   1.00000000   0.60691000    0.15016704
372456      2      0.3253876883   1.00000000   0.64520000    0.16758000
372457      2      0.3253876883   1.00000000   0.63680000    0.16758000
372458      2      0.3253876883   1.00000000   0.63236000    0.16758000
372459      2      0.3253876883   1.00000000   0.60632000    0.16758000
372460      2      0.0856417975   1.00000000   0.64742000    0.18481426
372461      2      0.0856417975   1.00000000   0.64875000    0.18481426
372462      2      0.0856417975   1.00000000   0.64002000    0.18481426
372463      2      0.0856417975   1.00000000   0.62989000    0.18481426
372464      2      0.0856417975   1.00000000   0.61227000    0.18481426
372465      2      0.0856417975   1.00000000   0.55613000    0.18481426
372466      2      0.0252601268   1.00000000   0.65195000    0.21096327
372467      2      0.0252601268   1.00000000   0.64844000    0.21096327
372468      2      0.0252601268   1.00000000   0.64447000    0.21096327
372469      2      0.0252601268   1.00000000   0.63555000    0.21096327
372470      2      0.0252601268   1.00000000   0.62793000    0.21096327
372471      2      0.0252601268   1.00000000   0.60905000    0.21096327
372472      2      0.0080897601   1.00000000   0.66247000    0.24437219
372473      2      0.0080897601   1.00000000   0.65470000    0.24437219
372474      2      0.0080897601   1.00000000   0.65000000    0.24437219
372475      2      0.0080897601   1.00000000   0.64193000    0.24437219
372476      2      0.0080897601   1.00000000   0.63387000    0.24437219
372477      2      0.0080897601   1.00000000   0.62750000    0.24437219
372478      2      0.0027583649   1.00000000   0.66334000    0.28245753
372479      2      0.0027583649   1.00000000   0.65997000    0.28245753
372480      2      0.0027583649   1.00000000   0.65737000    0.28245753
372481      2      0.0027583649   1.00000000   0.65034000    0.28245753
372482      2      0.0027583649   1.00000000   0.64357000    0.28245753
372483      2      0.0027583649   1.00000000   0.63715000    0.28245753
372484      2      0.1634905706   1.00000000   0.63857000    0.17640239
372485      2      0.1634905706   1.00000000   0.63166000    0.17640239
372486      2      0.1634905706   1.00000000   0.62129000    0.17640239
372487      2      0.0459823026   1.00000000   0.64934000    0.19822566
372488      2      0.0459823026   1.00000000   0.64370000    0.19822566
372489      2      0.0459823026   1.00000000   0.63838000    0.19822566
372490      2      0.0459823026   1.00000000   0.63008000    0.19822566
372491      2      0.0141714505   1.00000000   0.65862000    0.22892537
372492      2      0.0141714505   1.00000000   0.65324000    0.22892537
372493      2      0.0141714505   1.00000000   0.65245000    0.22892537
372494      2      0.0141714505   1.00000000   0.64148000    0.22892537
372495      2     98.1609998979   1.00000000   0.57692000    0.13935352
372496      2      9.2161817929   1.00000000   0.58931000    0.13836910
372497      2      1.4891045919   1.00000000   0.59087000    0.15016704
372498      2      0.3253876883   1.00000000   0.59604000    0.16758000
372499      2     98.1609998979   1.00000000   0.57607000    0.13935352
372500      2      9.2161817929   1.00000000   0.58359000    0.13836910
372501      2      1.4891045919   1.00000000   0.58326000    0.15016704
372502      2      0.3253876883   1.00000000   0.58708000    0.16758000
372503      2     98.1609998979   1.00000000   0.56242000    0.13935352
372504      2      9.2161817929   1.00000000   0.56801000    0.13836910
372505      2      1.4891045919   1.00000000   0.56597000    0.15016704
372506      2      0.3253876883   1.00000000   0.57038000    0.16758000
372507      2      1.4891045919   1.00000000   0.55846000    0.15016704
372508      2      1.4891045919   1.00000000   0.54598000    0.15016704
372509      2      1.4891045919   1.00000000   0.51380000    0.15016704
372510      2      1.4891045919   1.00000000   0.43705000    0.15016704
372511      2      1.4891045919   1.00000000   0.33632000    0.15016704
372512      2     98.1609998979   1.00000000   0.51330000    0.13935352 
372513      2     98.1609998979   1.00000000   0.53800000    0.13935352 
372514      2     98.1609998979   1.00000000   0.50369000    0.13935352 
372515      2     98.1609998979   1.00000000   0.43100000    0.13935352 
372516      2     98.1609998979   1.00000000   0.33867000    0.13935352 
372517      2      9.2161817929   1.00000000   0.55732000    0.13836910 
372518      2      9.2161817929   1.00000000   0.54232000    0.13836910 
372519      2      9.2161817929   1.00000000   0.51205000    0.13836910 
372520      2      9.2161817929   1.00000000   0.43994000    0.13836910 
372521      2      9.2161817929   1.00000000   0.33930000    0.13836910 
372522      2      0.3253876883   1.00000000   0.56057000    0.16758000 
372523      2      0.3253876883   1.00000000   0.54163000    0.16758000 
372524      2      0.3253876883   1.00000000   0.51408000    0.16758000 
372446      2      0.3253876883   1.00000000   0.44000000    0.16758000 
372447      2      0.3253876883   1.00000000   0.33694000    0.16758000 
373450      2      0.0009802603   1.00000000   0.66742000    0.31952110
373451      2      0.0009802603   1.00000000   0.65935000    0.31952110
373452      2      0.0009802603   1.00000000   0.66028000    0.31952110
373453      2      0.0009802603   1.00000000   0.65465000    0.31952110
373454      2      0.0009802603   1.00000000   0.64999000    0.31952110
373455      2      0.0009802603   1.00000000   0.64489000    0.31952110
373456      2      0.0003590692   1.00000000   0.66893000    0.36056504
373457      2      0.0003590692   1.00000000   0.66793000    0.36056504
373458      2      0.0003590692   1.00000000   0.66539000    0.36056504
373459      2      0.0003590692   1.00000000   0.66258000    0.36056504
373460      2      0.0003590692   1.00000000   0.65588000    0.36056504
373461      2      0.0003590692   1.00000000   0.65056000    0.36056504
