# SignalUncertainties for simplified model based on gluino production followed
# by 2-step decays into neutralino_2 -> neutralino_1(1GeV) + Z 
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
370000      2      4.8640911506   1.00000000    1.00000000   0.13770201
370001      2      6.1804390864   1.00000000    1.00000000   0.13763368
370002      2      2.4772911267   1.00000000    1.00000000   0.14448517
370003      2      1.0342588202   1.00000000    1.00000000   0.15401767
370004      2      8.3213215981   1.00000000    1.00000000   0.13800404
370005      2      3.0811007990   1.00000000    1.00000000   0.14231104
370006      2      1.3174917753   1.00000000    1.00000000   0.15118373
370007      2      0.5830201566   1.00000000    1.00000000   0.16028963
370008      2      0.2829273072   1.00000000    1.00000000   0.16909780
370009      2      4.0384119177   1.00000000    1.00000000   0.13993399
370010      2      1.6207120060   1.00000000    1.00000000   0.14901694
370011      2      0.7312125242   1.00000000    1.00000000   0.15787950
370012      2      0.3374543673   1.00000000    1.00000000   0.16688820
370013      2      0.1685263214   1.00000000    1.00000000   0.17623124
370014      2      0.0856417975   1.00000000    1.00000000   0.18481426
370015      2      1.1255534468   1.00000000    1.00000000   0.15300897
370016      2      0.5018649814   1.00000000    1.00000000   0.16244994
370017      2      0.2454264053   1.00000000    1.00000000   0.17132538
370018      2      0.1217550164   1.00000000    1.00000000   0.18022250
370019      2      0.0645931795   1.00000000    1.00000000   0.18931794
370020      2      0.0339674307   1.00000000    1.00000000   0.20490403
370021      2      0.0188630505   1.00000000    1.00000000   0.22120484
370022      2      0.3618197575   1.00000000    1.00000000   0.16618988
370023      2      0.1746517794   1.00000000    1.00000000   0.17533624
370024      2      0.0912755623   1.00000000    1.00000000   0.18395664
370025      2      0.0474012841   1.00000000    1.00000000   0.19770534
370026      2      0.0259924093   1.00000000    1.00000000   0.20929648
370027      2      0.0141714505   1.00000000    1.00000000   0.22892537
370028      2      0.0080897601   1.00000000    1.00000000   0.24437219
370029      2      0.0045751074   1.00000000    1.00000000   0.26363920
370030      2      0.1299380781   1.00000000    1.00000000   0.17938035
370031      2      0.0666910986   1.00000000    1.00000000   0.18843444
370032      2      0.0361148696   1.00000000    1.00000000   0.20400630
370033      2      0.0194382384   1.00000000    1.00000000   0.21719443
370034      2      0.0109896599   1.00000000    1.00000000   0.23616389
370035      2      0.0061530462   1.00000000    1.00000000   0.25294080
370036      2      0.0035944313   1.00000000    1.00000000   0.27291194
370037      2      0.0504205708   1.00000000    1.00000000   0.19541511
370038      2      0.0267937698   1.00000000    1.00000000   0.21006070
370039      2      0.0150144449   1.00000000    1.00000000   0.22574644
370040      2      0.0083115381   1.00000000    1.00000000   0.24374599
370041      2      0.0048250333   1.00000000    1.00000000   0.26248883
370042      2      0.0027583649   1.00000000    1.00000000   0.28245753
370043      2      0.0113036156   1.00000000    1.00000000   0.23514003
370044      2      0.0065018497   1.00000000    1.00000000   0.25134430
370045      2      0.0036959207   1.00000000    1.00000000   0.27181191
370046      2      0.0205943569   1.00000000    1.00000000   0.21935220
370047      2      0.0087890140   1.00000000    1.00000000   0.24257497
370048      2      0.0038921966   1.00000000    1.00000000   0.26852655
370049      2      0.0017647600   1.00000000    1.00000000   0.29857550
370050      2      0.0008203467   1.00000000    1.00000000   0.32691495
370051      2      0.0049516147   1.00000000    1.00000000   0.26039465
370052      2      0.0022334925   1.00000000    1.00000000   0.28811394
370053      2      0.0010284885   1.00000000    1.00000000   0.31527415
370054      2      0.0029104995   1.00000000    1.00000000   0.28093447
370055      2      0.0013296627   1.00000000    1.00000000   0.30872439
370056      2      0.0006218044   1.00000000    1.00000000   0.33800821
370057      2      0.0016763319   1.00000000    1.00000000   0.29778991
370058      2      0.0007804616   1.00000000    1.00000000   0.32827925
370059      2      0.0021805563   1.00000000    1.00000000   0.29040809
370060      2      0.0010052965   1.00000000    1.00000000   0.31872755
370061      2      0.0027583649   1.00000000    1.00000000   0.28245753
370062      2      0.0012630253   1.00000000    1.00000000   0.30579938
370063      2      0.0005914507   1.00000000    1.00000000   0.34038347
370064      2      0.0016337908   1.00000000    1.00000000   0.30037747
370065      2      0.0007606707   1.00000000    1.00000000   0.33041642
370066      2      0.0020676788   1.00000000    1.00000000   0.29328841
370067      2      0.0009558180   1.00000000    1.00000000   0.32084825
370068      2      0.0026187427   1.00000000    1.00000000   0.28339523
370069      2      0.0011993765   1.00000000    1.00000000   0.31087660
370070      2      0.0005623324   1.00000000    1.00000000   0.34231613
370071      2      0.0007055102   1.00000000    1.00000000   0.33329361
