# SignalUncertainties for simplified model based on gluino production followed
# by 2-step decays into neutralino_2 -> neutralino_1 + Z
# m(neutralino_1)>1 GeV and 2L-filter applied 
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
372995      2      8.7000558216   1.00000000    0.14083000   0.16401773
372996      2      8.7000558216   1.00000000    0.15712000   0.16401773
372997      2      8.7000558216   1.00000000    0.17336000   0.16401773
372998      2      3.3378338339   1.00000000    0.14483000   0.17681568
372999      2      3.3378338339   1.00000000    0.15802000   0.17681568
373000      2      3.3378338339   1.00000000    0.16563000   0.17681568
373001      2      3.3378338339   1.00000000    0.18112000   0.17681568
373002      2      1.4050344736   1.00000000    0.14230000   0.18658448
373003      2      1.4050344736   1.00000000    0.16072000   0.18658448
373004      2      1.4050344736   1.00000000    0.17711000   0.18658448
373005      2      0.6338398724   1.00000000    0.14518000   0.20157838
373006      2      0.6338398724   1.00000000    0.16292000   0.20157838
373007      2      0.6338398724   1.00000000    0.17488000   0.20157838
373008      2      0.6338398724   1.00000000    0.20218000   0.20157838
373009      2      0.3027834885   1.00000000    0.14477000   0.21574144
373010      2      0.3027834885   1.00000000    0.16048000   0.21574144
373011      2      0.3027834885   1.00000000    0.17933000   0.21574144
373012      2      0.3027834885   1.00000000    0.19308000   0.21574144
373013      2      0.1506810164   1.00000000    0.14587000   0.23266482
373014      2      0.1506810164   1.00000000    0.16034000   0.23266482
373015      2      0.1506810164   1.00000000    0.17702000   0.23266482
373016      2      0.1506810164   1.00000000    0.19447000   0.23266482
373017      2      0.1506810164   1.00000000    0.21078000   0.23266482
373018      2      0.0785261285   1.00000000    0.14587000   0.24385117
373019      2      0.0785261285   1.00000000    0.16470000   0.24385117
373020      2      0.0785261285   1.00000000    0.17164000   0.24385117
373021      2      0.0785261285   1.00000000    0.18748000   0.24385117
373022      2      0.0785261285   1.00000000    0.20745000   0.24385117
373023      2      0.0230325192   1.00000000    0.14336000   0.27121548
373024      2      0.0230325192   1.00000000    0.15725000   0.27121548
373025      2      0.0230325192   1.00000000    0.17589000   0.27121548
373026      2      0.0230325192   1.00000000    0.18414000   0.27121548
373027      2      0.0230325192   1.00000000    0.19953000   0.27121548
373028      2      0.0230325192   1.00000000    0.21564000   0.27121548
373029      2      0.0073556864   1.00000000    0.15706000   0.30395776
373030      2      0.0073556864   1.00000000    0.17605000   0.30395776
373031      2      0.0073556864   1.00000000    0.18524000   0.30395776
373032      2      0.0073556864   1.00000000    0.19537000   0.30395776
373033      2      0.0073556864   1.00000000    0.20799000   0.30395776
373034      2      0.0073556864   1.00000000    0.22715000   0.30395776
373035      2      0.0024976238   1.00000000    0.16907000   0.33460886
373036      2      0.0024976238   1.00000000    0.18817000   0.33460886
373037      2      0.0024976238   1.00000000    0.18947000   0.33460886
373038      2      0.0024976238   1.00000000    0.20299000   0.33460886
373039      2      0.0024976238   1.00000000    0.21478000   0.33460886
373040      2      0.0024976238   1.00000000    0.24209000   0.33460886



