# SignalUncertainties for dilepton edge signal grid SM_GG_N2_ZN1
# 2L-filter efficiencies applied
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
372525      2     91.3426072260     1.00000000    0.223040   0.14477204
372526      2      8.7000558216     1.00000000    0.260290   0.16401773
372527      2      8.7000558216     1.00000000    0.231070   0.16401773
372528      2      1.4050344736     1.00000000    0.288420   0.18658448
372529      2      1.4050344736     1.00000000    0.265670   0.18658448
372530      2      1.4050344736     1.00000000    0.231630   0.18658448
372531      2      0.3027834885     1.00000000    0.305960   0.21574144 
372532      2      0.3027834885     1.00000000    0.293110   0.21574144
372533      2      0.3027834885     1.00000000    0.268150   0.21574144
372534      2      0.3027834885     1.00000000    0.229940   0.21574144
372535      2      0.0785261285     1.00000000    0.321030   0.24385117
372536      2      0.0785261285     1.00000000    0.313760   0.24385117
372537      2      0.0785261285     1.00000000    0.292500   0.24385117
372538      2      0.0785261285     1.00000000    0.268250   0.24385117
372539      2      0.0785261285     1.00000000    0.231360   0.24385117
372540      2      0.0785261285     1.00000000    0.147820   0.24385117
372541      2      0.0230325192     1.00000000    0.336640   0.27121548
372542      2      0.0230325192     1.00000000    0.329090   0.27121548
372543      2      0.0230325192     1.00000000    0.312720   0.27121548
372544      2      0.0230325192     1.00000000    0.295410   0.27121548
372545      2      0.0230325192     1.00000000    0.270710   0.27121548
372546      2      0.0230325192     1.00000000    0.229070   0.27121548
372547      2      0.0073556864     1.00000000    0.345850   0.30395776
372548      2      0.0073556864     1.00000000    0.341280   0.30395776
372549      2      0.0073556864     1.00000000    0.331620   0.30395776
372550      2      0.0073556864     1.00000000    0.315040   0.30395776
372551      2      0.0073556864     1.00000000    0.298620   0.30395776
372552      2      0.0073556864     1.00000000    0.266310   0.30395776
372553      2      0.0024976238     1.00000000    0.355530   0.33460886
372554      2      0.0024976238     1.00000000    0.352510   0.33460886
372555      2      0.0024976238     1.00000000    0.341230   0.33460886
372556      2      0.0024976238     1.00000000    0.328690   0.33460886
372557      2      0.0024976238     1.00000000    0.316070   0.33460886
372558      2      0.0024976238     1.00000000    0.295490   0.33460886
372559      2      0.1506810164     1.00000000    0.305400   0.23266482
372560      2      0.1506810164     1.00000000    0.283090   0.23266482
372561      2      0.1506810164     1.00000000    0.251160   0.23266482
372562      2      0.0419357578     1.00000000    0.330120   0.25975389
372563      2      0.0419357578     1.00000000    0.319860   0.25975389
372564      2      0.0419357578     1.00000000    0.301340   0.25975389
372565      2      0.0419357578     1.00000000    0.284740   0.25975389
372566      2      0.0128823026     1.00000000    0.344920   0.28944090
372567      2      0.0128823026     1.00000000    0.335170   0.28944090
372568      2      0.0128823026     1.00000000    0.323250   0.28944090
372569      2      0.0128823026     1.00000000    0.304960   0.28944090
372570      2     91.3426072260     1.00000000    0.197890   0.14477204
372571      2      8.7000558216     1.00000000    0.201580   0.16401773
372572      2      1.4050344736     1.00000000    0.200470   0.18658448
372573      2      0.3027834885     1.00000000    0.202660   0.21574144
372574      2     91.3426072260     1.00000000    0.180430   0.14477204
372575      2      8.7000558216     1.00000000    0.182750   0.16401773
372576      2      1.4050344736     1.00000000    0.180710   0.18658448
372577      2      0.3027834885     1.00000000    0.183000   0.21574144
372578      2     91.3426072260     1.00000000    0.155910   0.14477204
372579      2      8.7000558216     1.00000000    0.160100   0.16401773
372580      2      1.4050344736     1.00000000    0.157480   0.18658448
372581      2      0.3027834885     1.00000000    0.159880   0.21574144
372582      2      1.4050344736     1.00000000    0.147780   0.18658448
372583      2      1.4050344736     1.00000000    0.131500   0.18658448
372584      2      1.4050344736     1.00000000    0.111900   0.18658448
372585      2      1.4050344736     1.00000000    0.082323   0.18658448
372586      2      1.4050344736     1.00000000    0.057472   0.18658448
