# SignalUncertainties for simplified model based on gluino production followed
# by 2-step decays with b-quarks and neutralino_2 -> neutralino_1 + Z
# m(neutralino_1)=1 GeV and 2L-filter applied
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
372900      2      9.2161817929   1.00000000    0.23379000   0.13836910
372901      2      9.2161817929   1.00000000    0.36698000   0.13836910
372902      2      9.2161817929   1.00000000    0.42361000   0.13836910
372903      2      9.2161817929   1.00000000    0.47113000   0.13836910
372904      2      3.5251047407   1.00000000    0.24069000   0.14103378
372905      2      3.5251047407   1.00000000    0.37752000   0.14103378
372906      2      3.5251047407   1.00000000    0.43778000   0.14103378
372907      2      3.5251047407   1.00000000    0.47618000   0.14103378
372908      2      1.4891045919   1.00000000    0.24508000   0.15016704
372909      2      1.4891045919   1.00000000    0.41713000   0.15016704
372910      2      1.4891045919   1.00000000    0.48438000   0.15016704
372911      2      0.6774779078   1.00000000    0.24672000   0.15876178
372912      2      0.6774779078   1.00000000    0.42369000   0.15876178
372913      2      0.6774779078   1.00000000    0.49368000   0.15876178
372914      2      0.6774779078   1.00000000    0.51267000   0.15876178
372915      2      0.3253876883   1.00000000    0.25818000   0.16758000
372916      2      0.3253876883   1.00000000    0.43287000   0.16758000
372917      2      0.3253876883   1.00000000    0.50143000   0.16758000
372918      2      0.3253876883   1.00000000    0.52713000   0.16758000
372919      2      0.1634905706   1.00000000    0.25548000   0.17640239
372920      2      0.1634905706   1.00000000    0.44395000   0.17640239
372921      2      0.1634905706   1.00000000    0.50971000   0.17640239
372922      2      0.1634905706   1.00000000    0.54793000   0.17640239
372923      2      0.1634905706   1.00000000    0.55889000   0.17640239
372924      2      0.0856417975   1.00000000    0.26316000   0.18481426
372925      2      0.0856417975   1.00000000    0.45195000   0.18481426
372926      2      0.0856417975   1.00000000    0.50633000   0.18481426
372927      2      0.0856417975   1.00000000    0.54039000   0.18481426
372928      2      0.0856417975   1.00000000    0.56292000   0.18481426
372929      2      0.0252601268   1.00000000    0.37567000   0.21096327
372930      2      0.0252601268   1.00000000    0.48727000   0.21096327
372931      2      0.0252601268   1.00000000    0.53643000   0.21096327
372932      2      0.0252601268   1.00000000    0.56192000   0.21096327
372933      2      0.0252601268   1.00000000    0.57265000   0.21096327
372934      2      0.0252601268   1.00000000    0.58672000   0.21096327
372935      2      0.0080897601   1.00000000    0.49771000   0.24437219
372936      2      0.0080897601   1.00000000    0.54163000   0.24437219
372937      2      0.0080897601   1.00000000    0.58212000   0.24437219
372938      2      0.0080897601   1.00000000    0.60113000   0.24437219
372939      2      0.0080897601   1.00000000    0.60469000   0.24437219
372940      2      0.0080897601   1.00000000    0.61478000   0.24437219
372941      2      0.0027583649   1.00000000    0.54938000   0.28245753
372942      2      0.0027583649   1.00000000    0.58063000   0.28245753
372943      2      0.0027583649   1.00000000    0.60823000   0.28245753
372944      2      0.0027583649   1.00000000    0.61013000   0.28245753
372945      2      0.0027583649   1.00000000    0.61459000   0.28245753
372946      2      0.0027583649   1.00000000    0.62883000   0.28245753





