# SignalUncertainties for simplified model based on squark-antisquark production followed
# by 2-step decays into neutralino_2 -> neutralino_1 + Z
# m(neutralino_1)=1 GeV and 2L-filter applied
SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
372950      4     68.6131285781   1.00000000    0.14676000   0.13876985
372951      4     68.6131285781   1.00000000    0.15148000   0.13876985
372952      4     14.8042464988   1.00000000    0.15628000   0.13696918
372953      4     14.8042464988   1.00000000    0.15790000   0.13696918
372954      4     14.8042464988   1.00000000    0.16260000   0.13696918
372955      4      4.1992328383   1.00000000    0.16740000   0.13418277
372956      4      4.1992328383   1.00000000    0.16777000   0.13418277
372957      4      4.1992328383   1.00000000    0.16737000   0.13418277
372958      4      4.1992328383   1.00000000    0.17272000   0.13418277
372959      4      1.4153077609   1.00000000    0.16880000   0.13087317
372960      4      1.4153077609   1.00000000    0.17312000   0.13087317
372961      4      1.4153077609   1.00000000    0.17298000   0.13087317
372962      4      0.5421072277   1.00000000    0.17798000   0.13306364
372963      4      0.5421072277   1.00000000    0.17788000   0.13306364
372964      4      0.5421072277   1.00000000    0.17905000   0.13306364
372965      4      0.5421072277   1.00000000    0.18626000   0.13306364
372966      4      0.2307170083   1.00000000    0.17931000   0.14114854
372967      4      0.2307170083   1.00000000    0.18390000   0.14114854
372968      4      0.2307170083   1.00000000    0.18732000   0.14114854
372969      4      0.2307170083   1.00000000    0.18678000   0.14114854
372970      4      0.2307170083   1.00000000    0.19487000   0.14114854
372971      4      0.1047448291   1.00000000    0.18542000   0.15080609
372972      4      0.1047448291   1.00000000    0.19161000   0.15080609
372973      4      0.1047448291   1.00000000    0.18780000   0.15080609
372974      4      0.1047448291   1.00000000    0.19037000   0.15080609
372975      4      0.1047448291   1.00000000    0.19382000   0.15080609
372976      4      0.0499512723   1.00000000    0.18859000   0.16219522
372977      4      0.0499512723   1.00000000    0.19376000   0.16219522
372978      4      0.0499512723   1.00000000    0.19933000   0.16219522
372979      4      0.0499512723   1.00000000    0.19515000   0.16219522
372980      4      0.0499512723   1.00000000    0.19910000   0.16219522
372981      4      0.0499512723   1.00000000    0.20420000   0.16219522
372982      4      0.0250697914   1.00000000    0.20562000   0.17224506
372983      4      0.0250697914   1.00000000    0.20276000   0.17224506
372984      4      0.0250697914   1.00000000    0.20381000   0.17224506
372985      4      0.0250697914   1.00000000    0.20427000   0.17224506
372986      4      0.0130276452   1.00000000    0.20874000   0.18401718
372987      4      0.0130276452   1.00000000    0.20617000   0.18401718
372988      4      0.0130276452   1.00000000    0.20388000   0.18401718
372989      4      0.0130276452   1.00000000    0.21881000   0.18401718
