# author : tripiana@cern.ch (please report any problems)
# date   : 03/08/2015
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
# stop to bC1 (T1-C1=10 GeV) grid	
#
387250   61       21.5949          1.0          0.04556      0.140595    
387251   61       21.5949          1.0          0.042596     0.140595    
387252   61       8.51615          1.0          0.93297      0.139223    
387253   61       8.51615          1.0          0.87422      0.139223    
387254   61       8.51615          1.0          0.71235      0.139223    
387255   61       1.83537          1.0          0.9619       0.136985    
387256   61       1.83537          1.0          0.89812      0.136985    
387257   61       1.83537          1.0          0.76169      0.136985    
387258   61       0.948333         1.0          0.97165      0.134559    
387259   61       0.948333         1.0          0.95404      0.134559    
387260   61       0.948333         1.0          0.90561      0.134559    
387261   61       0.51848          1.0          0.97631      0.133797    
387262   61       0.51848          1.0          0.97394      0.133797    
387263   61       0.51848          1.0          0.96607      0.133797    
387264   61       0.51848          1.0          0.94251      0.133797    
387265   61       0.51848          1.0          0.91285      0.133797    
387266   61       0.296128         1.0          1.0          0.132687    
387267   61       0.296128         1.0          1.0          0.132687    
387268   61       0.296128         1.0          1.0          0.132687    
387269   61       0.296128         1.0          1.0          0.132687    
387270   61       0.296128         1.0          1.0          0.132687    
387271   61       0.174599         1.0          1.0          0.132074    
387272   61       0.174599         1.0          1.0          0.132074    
387273   61       0.174599         1.0          1.0          0.132074    
387274   61       0.174599         1.0          1.0          0.132074    
387275   61       0.174599         1.0          1.0          0.132074    
387276   61       0.174599         1.0          1.0          0.132074    
387277   61       0.107045         1.0          1.0          0.129232    
387278   61       0.107045         1.0          1.0          0.129232    
387279   61       0.107045         1.0          1.0          0.129232    
387280   61       0.107045         1.0          1.0          0.129232    
387281   61       0.107045         1.0          1.0          0.129232    
387282   61       0.107045         1.0          1.0          0.129232    
387283   61       0.0670476        1.0          1.0          0.133429    
387284   61       0.0670476        1.0          1.0          0.133429    
387285   61       0.0670476        1.0          1.0          0.133429    
387286   61       0.0670476        1.0          1.0          0.133429    
387287   61       0.0670476        1.0          1.0          0.133429    
387288   61       0.0670476        1.0          1.0          0.133429    
387289   61       0.0670476        1.0          1.0          0.133429    
387290   61       0.0283338        1.0          1.0          0.14171     
387291   61       0.0283338        1.0          1.0          0.14171     
387292   61       0.0283338        1.0          1.0          0.14171     
387293   61       0.0283338        1.0          1.0          0.14171     
387294   61       0.0283338        1.0          1.0          0.14171     
387295   61       0.0283338        1.0          1.0          0.14171     
387296   61       0.0283338        1.0          1.0          0.14171     
387297   61       0.0283338        1.0          1.0          0.14171     
#
#stop to bC1 grid with Δm (chargino, neutralino) = 20 GeV (soft lepton)	 
#
387550   61       249.409          1.0          0.44095      0.147477    
387551   61       249.409          1.0          0.32751      0.147477    
387552   61       64.5085          1.0          0.69187      0.144098    
387553   61       64.5085          1.0          0.64375      0.144098    
387554   61       64.5085          1.0          0.43728      0.144098    
387555   61       64.5085          1.0          0.4042       0.144098    
387556   61       21.5949          1.0          0.79354      0.140595    
387557   61       21.5949          1.0          0.70457      0.140595    
387558   61       21.5949          1.0          0.50056      0.140595    
387559   61       21.5949          1.0          0.46132      0.140595    
387560   61       8.51615          1.0          0.83116      0.139223    
387561   61       8.51615          1.0          0.74157      0.139223    
387562   61       8.51615          1.0          0.54717      0.139223    
387563   61       8.51615          1.0          0.5082       0.139223    
387564   61       3.78661          1.0          0.85091      0.136877    
387565   61       3.78661          1.0          0.76863      0.136877    
387566   61       3.78661          1.0          0.58034      0.136877    
387567   61       3.78661          1.0          0.53986      0.136877    
387568   61       1.83537          1.0          0.89926      0.136985    
387569   61       1.83537          1.0          0.86564      0.136985    
387570   61       1.83537          1.0          0.78529      0.136985    
387571   61       1.83537          1.0          0.60815      0.136985    
387572   61       1.83537          1.0          0.56844      0.136985    
387573   61       0.948333         1.0          0.9292       0.134559    
387574   61       0.948333         1.0          0.91256      0.134559    
387575   61       0.948333         1.0          0.8752       0.134559    
387576   61       0.948333         1.0          0.79797      0.134559    
387577   61       0.948333         1.0          0.6282       0.134559    
387578   61       0.948333         1.0          0.58695      0.134559    
387579   61       0.51848          1.0          0.94606      0.133797    
387580   61       0.51848          1.0          0.93216      0.133797    
387581   61       0.51848          1.0          0.91453      0.133797    
387582   61       0.51848          1.0          0.88615      0.133797    
387583   61       0.51848          1.0          0.80691      0.133797    
387584   61       0.51848          1.0          0.64694      0.133797    
387585   61       0.296128         1.0          0.95565      0.132687    
387586   61       0.296128         1.0          0.96133      0.132687    
387587   61       0.296128         1.0          0.95643      0.132687    
387588   61       0.296128         1.0          0.95254      0.132687    
387589   61       0.296128         1.0          0.94454      0.132687    
387590   61       0.296128         1.0          0.93828      0.132687    
387591   61       0.296128         1.0          0.91995      0.132687    
387592   61       0.296128         1.0          0.88832      0.132687    
