# date: July 31 2015
## format : datasetID   finalState   XS(pb)   K-factor   filterEff    relUncertainty
371500     2     1561.089111328125          1     1     0.14015558362
371501     2     885.6153564453125          1     1     0.139731377363
371502     2     345.4959411621094          1     1     0.138730213046
371503     2     219.48275756835938         1     1     0.140176862478
371504     2     102.17378234863281         1     1     0.138297706842
371505     2     69.78768157958984          1     1     0.138973414898
371506     2     36.071754455566406         1     1     0.138903439045
371507     2     25.895143508911133         1     1     0.137926280499
371508     2     14.496330261230469         1     1     0.139214798808
371509     2     10.745857238769531         1     1     0.13493591547
371510     2     6.35960578918457           1     1     0.137147203088
371511     2     4.864090919494629          1     1     0.137702018023
371512     2     3.031431198120117          1     1     0.142638072371
371513     2     2.3660974502563477         1     1     0.14538064599
371514     2     2.3660974502563477         1     1     0.14538064599
371515     2     1.6807845830917358         1     1     0.148955866694
371516     2     1.5296400785446167         1     1     0.149978294969
371517     2     1.2166982889175415         1     1     0.152140974998
371518     2     0.8070603013038635         1     1     0.156766057014
371519     2     0.652317464351654          1     1     0.159139737487
371520     2     0.652317464351654          1     1     0.159139737487
371521     2     0.48354557156562805        1     1     0.162492290139
371522     2     0.443156361579895          1     1     0.163735926151
371523     2     0.3618197441101074         1     1     0.166189879179
371524     2     0.3618197441101074         1     1     0.166189879179
371525     2     0.27277830243110657        1     1     0.16991725564
371526     2     0.2506413161754608         1     1     0.170866250992
371527     2     0.207025408744812          1     1     0.173211202025
371528     2     0.207025408744812          1     1     0.173211202025
371529     2     0.207025408744812          1     1     0.173211202025
371530     2     0.15845075249671936        1     1     0.176563829184
371531     2     0.15845075249671936        1     1     0.176563829184
371532     2     0.12175501883029938        1     1     0.18022249639
371533     2     0.12175501883029938        1     1     0.18022249639
371534     2     0.09420723468065262        1     1     0.183622971177
371535     2     0.09420723468065262        1     1     0.183622971177
371536     2     0.07322552055120468        1     1     0.187227144837
371537     2     0.07322552055120468        1     1     0.187227144837
371538     2     0.07322552055120468        1     1     0.187227144837
371539     2     0.057097140699625015       1     1     0.192412689328
371540     2     0.057097140699625015       1     1     0.192412689328
371541     2     0.0446358248591423         1     1     0.199451357126
371542     2     0.0446358248591423         1     1     0.199451357126
371543     2     0.03500567004084587        1     1     0.203531727195
371544     2     0.03500567004084587        1     1     0.203531727195
371545     2     0.02762642316520214        1     1     0.208541065454
371546     2     0.02762642316520214        1     1     0.208541065454
371547     2     0.02762642316520214        1     1     0.208541065454
371548     2     0.021863583475351334       1     1     0.21597649157
371549     2     0.021863583475351334       1     1     0.21597649157
371550     2     0.017338845878839493       1     1     0.223563447595
371551     2     0.017338845878839493       1     1     0.223563447595
371552     2     0.01375182718038559        1     1     0.231025293469
371553     2     0.01375182718038559        1     1     0.231025293469
371554     2     0.0109896594658494         1     1     0.236163884401
371555     2     0.0109896594658494         1     1     0.236163884401
371556     2     0.0109896594658494         1     1     0.236163884401
371557     2     0.00878901407122612        1     1     0.242574959993
371558     2     0.00878901407122612        1     1     0.242574959993
371559     2     0.0070499032735824585      1     1     0.248536065221
371560     2     0.0070499032735824585      1     1     0.248536065221
371561     2     0.005671649239957333       1     1     0.256562232971
371562     2     0.005671649239957333       1     1     0.256562232971
371563     2     885.6153564453125          1     1     0.139731377363
371564     2     424.22491455078125         1     1     0.139433845878
371565     2     69.78768157958984          1     1     0.138973414898
371566     2     41.787498474121094         1     1     0.139698162675
371567     2     25.895143508911133         1     1     0.137926280499
371568     2     16.444660186767578         1     1     0.139171764255
371569     2     10.745857238769531         1     1     0.13493591547
371570     2     7.161779403686523          1     1     0.138059899211
371571     2     4.864090919494629          1     1     0.137702018023
371572     2     3.373701333999634          1     1     0.141608789563
371573     2     2.3660974502563477         1     1     0.14538064599
371574     2     1.6807845830917358         1     1     0.148955866694
371575     2     1.2166982889175415         1     1     0.152140974998
371576     2     0.8859171271324158         1     1     0.155642613769
371577     2     0.652317464351654          1     1     0.159139737487
371578     2     0.48354557156562805        1     1     0.162492290139
371579     2     0.3618197441101074         1     1     0.166189879179
371580     2     0.27277830243110657        1     1     0.16991725564
371581     2     0.004575107246637344       1     1     0.263639211655
371582     2     0.004575107246637344       1     1     0.263639211655
371583     2     0.004575107246637344       1     1     0.263639211655
371584     2     0.0036959205754101276      1     1     0.271811902523
371585     2     0.0036959205754101276      1     1     0.271811902523
371586     2     0.002984828781336546       1     1     0.278535693884
371587     2     0.002984828781336546       1     1     0.278535693884
371588     2     0.00241293222643435        1     1     0.28723320365
