# author : ppani@cern.ch (please report any problems)
# date   : 14/10/2015
# 	   @modified 28/07/16 : fix width accounted in the calculation . Move to rel. uncertainties as for other grids
# notes  : it assumes that g = g_q = g_chi = 1 .  For a proper rescaling look at Sec 2.5.3 of the DM Forum report (https://twiki.cern.ch/twiki/pub/AtlasProtected/HeavyQuarkDMRun2/doc_1.pdf)
#          Pre-computed values for different settings are also available at https://twiki.cern.ch/twiki/bin/view/AtlasProtected/TTPhiValidation 
#
# Note: pseudoscalar models have a problem in ami. Filter comes from validation logfiles
#
DSID     FS   CROSSECTION[pb]  K-FACTOR   FILTEREFF    REL.UNCERT
303078    0      19.59          1.0       5.9858e-01     0.0031801
303079    0      10.48          1.0       6.4338e-01     0.0028606
303080    0      2.941          1.0       7.5319e-01     0.0030809
303081    0     0.6723          1.0       8.5907e-01     0.0035430
303082    0    0.09327          1.0       1.0000e+00     0.0031017
303083    0     0.0295          1.0       1.0000e+00     0.0036745
303084    0    0.00518          1.0       1.0000e+00     0.0042104
303085    0  0.0003687          1.0       1.0000e+00     0.0046623
303086    0   6.17e-08          1.0       1.0000e+00     0.0038557
303087    0  6.607e-09          1.0       1.0000e+00     0.0041592
303088    0  9.433e-09          1.0       1.0000e+00     0.0042340
303089    0    1.7e-09          1.0       1.0000e+00     0.0059764
303090    0    0.09487          1.0       7.3808e-01     0.0037778
303091    0     0.1202          1.0       7.2634e-01     0.0041863
303092    0      2.942          1.0       7.5499e-01     0.0028378
303093    0     0.6732          1.0       8.6049e-01     0.0034536
303094    0   0.001906          1.0       1.0000e+00     0.0044134
303095    0   0.002329          1.0       1.0000e+00     0.0044869
303096    0   0.006558          1.0       1.0000e+00     0.0040652
303097    0    0.09224          1.0       1.0000e+00     0.0027450
303099    0  7.356e-07          1.0       1.0000e+00     0.0045527
303100    0  9.894e-07          1.0       1.0000e+00     0.0050272
303101    0    7.3e-06          1.0       1.0000e+00     0.0043657
303102    0  8.634e-05          1.0       1.0000e+00     0.0046861
303103    0    0.00013          1.0       1.0000e+00     0.0043992
303104    0   0.000394          1.0       1.0000e+00     0.0040380
303105    0   0.003754          1.0       1.0000e+00     0.0050399
303106    0  4.162e-08          1.0       1.0000e+00     0.0042864
303107    0     0.4394          1.0       8.57e-01       0.0038006
303108    0     0.3996          1.0       8.73e-01       0.0045020
303109    0     0.3033          1.0       1.0000e+00     0.0043191
303110    0     0.1897          1.0       1.0000e+00     0.0039077
303111    0    0.08451          1.0       1.0000e+00     0.0037593
