# author : herwig@cern.ch (please report any problems)
# date   : 01/07/2017
# update : 13/01/2017 by Serhan (added new Stop2L MadSpin samples including branching fractions under k-factor column)
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT

390850   61   21.5949             1.0          2.1912E-01  0.140595
390851   61   21.5949             1.0          2.3771E-01  0.140595
390852   61   21.5949             1.0          2.5111E-01  0.140595
390853   61   8.51615             1.0          2.6817E-01  0.139223
390854   61   8.51615             1.0          2.6006E-01  0.139223
390855   61   8.51615             1.0          2.7407E-01  0.139223
390856   61   8.51615             1.0          2.8694E-01  0.139223
390857   61   3.78661             1.0          3.1539E-01  0.136877
390858   61   3.78661             1.0          3.0352E-01  0.136877
390859   61   3.78661             1.0          3.1305E-01  0.136877
390860   61   3.78661             1.0          3.2442E-01  0.136877
390861   61   1.83537             1.0          3.5195E-01  0.136985
390862   61   1.83537             1.0          3.3914E-01  0.136985
390863   61   1.83537             1.0          3.4578E-01  0.136985
390864   61   1.83537             1.0          3.5412E-01  0.136985
390865   61   0.948333            1.0          3.8432E-01  0.134559
390866   61   0.948333            1.0          3.6697E-01  0.134559
390867   61   0.948333            1.0          3.7475E-01  0.134559
390868   61   0.948333            1.0          3.8388E-01  0.134559
390869   61   0.51848             1.0          4.1403E-01  0.133797
390870   61   0.51848             1.0          3.9949E-01  0.133797
390871   61   0.51848             1.0          3.9964E-01  0.133797
390872   61   0.51848             1.0          4.0558E-01  0.133797
390873   61   0.296128            1.0          4.3543E-01  0.132687
390874   61   0.296128            1.0          4.1681E-01  0.132687
390875   61   0.296128            1.0          4.2049E-01  0.132687
390876   61   0.296128            1.0          4.2310E-01  0.132687
389982   61   21.5949             0.10504      0.102880    0.140595
389983   61   21.5949             0.10504      0.022692    0.140595
389984   61   13.3231             0.10504      0.264770    0.142549
389985   61   13.3231             0.10504      0.102990    0.142549
389986   61   13.3231             0.10504      0.022402    0.142549
389987   61   8.51615             0.10504      0.265280    0.139223
389988   61   8.51615             0.10504      0.102550    0.139223
389989   61   8.51615             0.10504      0.022104    0.139223
389990   61   5.60471             0.10504      0.266490    0.138144
389991   61   5.60471             0.10504      0.102670    0.138144
389992   61   5.60471             0.10504      0.021777    0.138144
389993   61   3.78661             0.10504      0.266420    0.136877
389994   61   3.78661             0.10504      0.102250    0.136877
389995   61   3.78661             0.10504      0.021391    0.136877
389996   61   2.61162             0.10504      0.268780    0.138477
389997   61   2.61162             0.10504      0.101650    0.138477
389998   61   2.61162             0.10504      0.021208    0.138477
389999   61   1.83537             0.10504      0.267580    0.136985
390000   61   1.83537             0.10504      0.102140    0.136985
390001   61   1.83537             0.10504      0.020916    0.136985
390002   61   1.31169             0.10504      0.267500    0.135013
390003   61   1.31169             0.10504      0.102230    0.135013
390004   61   1.31169             0.10504      0.020639    0.135013
390005   61   0.948333            0.10504      0.270040    0.134559
390006   61   0.948333            0.10504      0.101460    0.134559
390007   61   0.948333            0.10504      0.020294    0.134559
390008   61   0.697075            0.10504      0.264160    0.133926
390009   61   0.697075            0.10504      0.102400    0.133926
390010   61   0.697075            0.10504      0.020387    0.133926
390011   61   0.51848             0.10504      0.269580    0.133797
390012   61   0.51848             0.10504      0.100450    0.133797
390013   61   0.51848             0.10504      0.019966    0.133797
390014   61   0.390303            0.10504      0.271550    0.133443
390015   61   0.390303            0.10504      0.102930    0.133443
390016   61   0.390303            0.10504      0.019936    0.133443
390017   61   0.296128            0.10504      0.265880    0.132687
390018   61   0.296128            0.10504      0.099796    0.132687
390019   61   0.296128            0.10504      0.019494    0.132687
