# author : tripiana@cern.ch (please report any problems)
# date   : 03/08/2015
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
387300   61       1.83537          1.0          1.0          0.136985    
387301   61       1.83537          1.0          1.0          0.136985    
387302   61       1.83537          1.0          1.0          0.136985    
387303   61       0.948333         1.0          1.0          0.134559    
387304   61       0.948333         1.0          1.0          0.134559    
387305   61       0.51848          1.0          1.0          0.133797    
387306   61       0.51848          1.0          1.0          0.133797    
387307   61       0.51848          1.0          1.0          0.133797    
387308   61       0.51848          1.0          1.0          0.133797    
387309   61       0.51848          1.0          1.0          0.133797    
387310   61       0.296128         1.0          1.0          0.132687    
387311   61       0.296128         1.0          1.0          0.132687    
387312   61       0.296128         1.0          1.0          0.132687    
387313   61       0.296128         1.0          1.0          0.132687    
387314   61       0.296128         1.0          1.0          0.132687    
387315   61       0.174599         1.0          1.0          0.132074    
387316   61       0.174599         1.0          1.0          0.132074    
387317   61       0.174599         1.0          1.0          0.132074    
387318   61       0.174599         1.0          1.0          0.132074    
387319   61       0.174599         1.0          1.0          0.132074    
387320   61       0.174599         1.0          1.0          0.132074    
387321   61       0.107045         1.0          1.0          0.129232    
387322   61       0.107045         1.0          1.0          0.129232    
387323   61       0.107045         1.0          1.0          0.129232    
387324   61       0.107045         1.0          1.0          0.129232    
387325   61       0.107045         1.0          1.0          0.129232    
387326   61       0.107045         1.0          1.0          0.129232    
387327   61       0.0670476        1.0          1.0          0.133429    
387328   61       0.0670476        1.0          1.0          0.133429    
387329   61       0.0670476        1.0          1.0          0.133429    
387330   61       0.0670476        1.0          1.0          0.133429    
387331   61       0.0670476        1.0          1.0          0.133429    
387332   61       0.0670476        1.0          1.0          0.133429    
387333   61       0.0431418        1.0          1.0          0.137455    
387334   61       0.0431418        1.0          1.0          0.137455    
387335   61       0.0431418        1.0          1.0          0.137455    
387336   61       0.0431418        1.0          1.0          0.137455    
387337   61       0.0431418        1.0          1.0          0.137455    
387338   61       0.0431418        1.0          1.0          0.137455    
387339   61       0.0283338        1.0          1.0          0.14171     
387340   61       0.0283338        1.0          1.0          0.14171     
387341   61       0.0283338        1.0          1.0          0.14171     
387342   61       0.0283338        1.0          1.0          0.14171     
387343   61       0.0283338        1.0          1.0          0.14171     
387344   61       0.0283338        1.0          1.0          0.14171     
388150   61	  1.83537	   1.0  	1.0	     0.136985
388151   61	  1.83537	   1.0  	1.0	     0.136985
388152   61	  1.83537	   1.0  	1.0	     0.136985
388153   61	  1.83537	   1.0  	1.0	     0.136985
388154   61	  1.83537	   1.0  	1.0	     0.136985
388155   61	  0.51848	   1.0  	1.0	     0.133797
388156   61	  0.51848	   1.0  	1.0	     0.133797
388157   61	  0.51848	   1.0  	1.0	     0.133797
388158   61	  0.51848	   1.0  	1.0	     0.133797
388159   61	  0.51848	   1.0  	1.0	     0.133797
388160   61	  0.174599	   1.0  	1.0	     0.132074
388161   61	  0.174599	   1.0  	1.0	     0.132074
388162   61	  0.174599	   1.0  	1.0	     0.132074
388163   61	  0.174599	   1.0  	1.0	     0.132074
388164   61	  0.174599	   1.0  	1.0	     0.132074
388165   61	  0.0670476	   1.0  	1.0	     0.133429
388166   61	  0.0670476	   1.0  	1.0	     0.133429
388167   61	  0.0670476	   1.0  	1.0	     0.133429
388168   61	  0.0670476	   1.0  	1.0	     0.133429
388169   61	  0.0670476	   1.0  	1.0	     0.133429
388170   61	  0.0283338	   1.0  	1.0	     0.14171
388171   61	  0.0283338	   1.0  	1.0	     0.14171
388172   61	  0.0283338	   1.0  	1.0	     0.14171
388173   61	  0.0283338	   1.0  	1.0	     0.14171
388174   61	  0.0283338	   1.0  	1.0	     0.14171
388175   61	  0.0128895	   1.0  	1.0	     0.152026
388176   61	  0.0128895	   1.0  	1.0	     0.152026
388177   61	  0.0128895	   1.0  	1.0	     0.152026
388178   61	  0.0128895	   1.0  	1.0	     0.152026
388179   61	  0.0128895	   1.0  	1.0	     0.152026

#stop1l grid extension	   	  
388431   61       0.0431418 	   1.0          1.0          0.137455
388434   61       0.0431418 	   1.0          1.0          0.137455
388435   61       0.0431418 	   1.0          1.0          0.137455
388437   61       0.0189612 	   1.0          1.0          0.14702
388438   61       0.0189612 	   1.0          1.0          0.14702
388440   61       0.0189612 	   1.0          1.0          0.14702
388441   61       0.0128895 	   1.0          1.0          0.152026
388442   61       0.0128895 	   1.0          1.0          0.152026
388443   61       0.0128895 	   1.0          1.0          0.152026
388444   61       0.0128895 	   1.0          1.0          0.152026
388445   61       0.0128895 	   1.0          1.0          0.152026
388446   61       0.00615134	   1.0          1.0          0.162953
388448   61       0.00615134	   1.0          1.0          0.162953
388449   61       0.00615134	   1.0          1.0          0.162953
388450   61       0.00615134	   1.0          1.0          0.162953
388451   61       0.00307413	   1.0          1.0          0.173377
388452   61       0.00307413	   1.0          1.0          0.173377
388453   61       0.00307413	   1.0          1.0          0.173377
388461   61       0.0670476 	   1.0          1.0          0.133429
388462   61       0.0670476 	   1.0          1.0          0.133429
388464   61       0.0283338 	   1.0          1.0          0.14171
