#SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#
#susy.X.NUHM2_m12_300.slha
370600      2      0.6089026860   1.00000000    1.00000000   0.20720543
370600     61      0.0003347942   1.00000000    1.00000000   0.27640470
370600     62      0.0000000095   1.00000000    1.00000000   0.82311534

#susy.X.NUHM2_m12_3%0.slha
370601      2      0.2512005769   1.00000000    1.00000000   0.22706057
370601     61      0.0003316045   1.00000000    1.00000000   0.27849121
370601     62      0.0000000092   1.00000000    1.00000000   0.82357386

#susy.X.NUHM2_m12_400.slha
370602      2      0.1111911838   1.00000000    1.00000000   0.24399388
370602     61      0.0003136662   1.00000000    1.00000000   0.28024914
370602     62      0.0000000084   1.00000000    1.00000000   0.83583531

#susy.X.NUHM2_m12_500.slha
370603      2      0.0257765957   1.00000000    1.00000000   0.28810222
370603     61      0.0002822272   1.00000000    1.00000000   0.29126869
370603     62      0.0000000076   1.00000000    1.00000000   0.83168184

#susy.X.NUHM2_m12_600.slha
370604      2      0.0069446138   1.00000000    1.00000000   0.33004256
370604     61      0.0002590221   1.00000000    1.00000000   0.24511441
370604     62      0.0000000063   1.00000000    1.00000000   0.83896378

#susy.X.NUHM2_m12_700.slha
370605      2      0.0020592510   1.00000000    1.00000000   0.37731420
370605     61      0.0001922955   1.00000000    1.00000000   0.25671177
370605     62      0.0000000049   1.00000000    1.00000000   0.85285981

##susy.X.NUHM2_m12_800.slha
370606      2      0.0006553931   1.00000000    1.00000000   0.42831047
370606     61      0.0001470911   1.00000000    1.00000000   0.26807034
370606     62      0.0000000039   1.00000000    1.00000000   0.85900250
