                        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
susy.370617.NUHM2_m12_300.slha    111      0.0116116904   1.00000000    1.00000000   0.07950234
susy.370617.NUHM2_m12_300.slha    112      0.0009775530   1.00000000    1.00000000   0.08535312
susy.370617.NUHM2_m12_300.slha    113      0.5163867234   1.00000000    1.00000000   0.07315089
susy.370617.NUHM2_m12_300.slha    114      0.0000593483   1.00000000    1.00000000   0.08483826
susy.370617.NUHM2_m12_300.slha    115      1.1555478731   1.00000000    1.00000000   0.06803190
susy.370617.NUHM2_m12_300.slha    116      0.0056717958   1.00000000    1.00000000   0.05803524
susy.370617.NUHM2_m12_300.slha    117      0.7027932124   1.00000000    1.00000000   0.08979719
susy.370617.NUHM2_m12_300.slha    118      0.0030806972   1.00000000    1.00000000   0.07709474
susy.370617.NUHM2_m12_300.slha    122      0.0000260248   1.00000000    1.00000000   0.13101757
susy.370617.NUHM2_m12_300.slha    123      0.1709342503   1.00000000    1.00000000   0.06993300
susy.370617.NUHM2_m12_300.slha    124      0.0002175469   1.00000000    1.00000000   0.08148442
susy.370617.NUHM2_m12_300.slha    125      0.4768609298   1.00000000    1.00000000   0.06541649
susy.370617.NUHM2_m12_300.slha    126      0.0228714654   1.00000000    1.00000000   0.05697991
susy.370617.NUHM2_m12_300.slha    127      0.2784795051   1.00000000    1.00000000   0.08434059
susy.370617.NUHM2_m12_300.slha    128      0.0120807622   1.00000000    1.00000000   0.07942795
susy.370617.NUHM2_m12_300.slha    133      0.0003583977   1.00000000    1.00000000   0.06910802
susy.370617.NUHM2_m12_300.slha    134      0.0191236271   1.00000000    1.00000000   0.06575101
susy.370617.NUHM2_m12_300.slha    135      0.6773400626   1.00000000    1.00000000   0.06477621
susy.370617.NUHM2_m12_300.slha    136      0.0262277631   1.00000000    1.00000000   0.05716003
susy.370617.NUHM2_m12_300.slha    137      0.3954923581   1.00000000    1.00000000   0.08483868
susy.370617.NUHM2_m12_300.slha    138      0.0137758494   1.00000000    1.00000000   0.08211888
susy.370617.NUHM2_m12_300.slha    144      0.0000568127   1.00000000    1.00000000   0.07453184
susy.370617.NUHM2_m12_300.slha    145      0.0213534960   1.00000000    1.00000000   0.05398319
susy.370617.NUHM2_m12_300.slha    146      0.2119219378   1.00000000    1.00000000   0.05665419
susy.370617.NUHM2_m12_300.slha    147      0.0113003976   1.00000000    1.00000000   0.07780129
susy.370617.NUHM2_m12_300.slha    148      0.1028839844   1.00000000    1.00000000   0.07544194
susy.370617.NUHM2_m12_300.slha    157      1.1640104660   1.00000000    1.00000000   0.07733674
susy.370617.NUHM2_m12_300.slha    158      0.0187939524   1.00000000    1.00000000   0.06417211
susy.370617.NUHM2_m12_300.slha    167      0.0188413722   1.00000000    1.00000000   0.06767782
susy.370617.NUHM2_m12_300.slha    168      0.1655520687   1.00000000    1.00000000   0.06249944
susy.370618.NUHM2_m12_350.slha    111      0.0076283799   1.00000000    1.00000000   0.07739107
susy.370618.NUHM2_m12_350.slha    112      0.5835187445   1.00000000    1.00000000   0.07193879
susy.370618.NUHM2_m12_350.slha    113      0.0000894312   1.00000000    1.00000000   0.09912250
susy.370618.NUHM2_m12_350.slha    114      0.0001023491   1.00000000    1.00000000   0.07825966
susy.370618.NUHM2_m12_350.slha    115      1.0850849571   1.00000000    1.00000000   0.07591545
susy.370618.NUHM2_m12_350.slha    116      0.0049251988   1.00000000    1.00000000   0.05689268
susy.370618.NUHM2_m12_350.slha    117      0.6538672654   1.00000000    1.00000000   0.08886870
susy.370618.NUHM2_m12_350.slha    118      0.0025928251   1.00000000    1.00000000   0.07604635
susy.370618.NUHM2_m12_350.slha    122      0.0003076705   1.00000000    1.00000000   0.06756051
susy.370618.NUHM2_m12_350.slha    123      0.1082826561   1.00000000    1.00000000   0.06926016
susy.370618.NUHM2_m12_350.slha    124      0.0094622361   1.00000000    1.00000000   0.06300188
susy.370618.NUHM2_m12_350.slha    125      0.6833463531   1.00000000    1.00000000   0.06443308
