# SignalUncertainties for gluino R-hadron production (qq)
# with various lifetimes and neutralino masses (when applicable)
# Decay BR is set to 1
# Source: https://cds.cern.ch/record/2052186 (Table 1)
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
#m=400GeV
402034	  0      98.2		  1.0	       1.0	   0.14 
402154	  0      98.2		  1.0	       1.0	   0.14 
#m=500GeV
402035    0      27.5             1.0          1.0         0.14
#m=600GeV
402770	  0       9.22		  1.0	       1.0	   0.14  
402778	  0       9.22		  1.0	       1.0	   0.14  
402786	  0       9.22		  1.0	       1.0	   0.14  
402036	  0       9.22		  1.0	       1.0	   0.14  
402700	  0       9.22		  1.0	       1.0	   0.14  
402037	  0       9.22		  1.0	       1.0	   0.14  
403049	  0       9.22		  1.0	       1.0	   0.14  
403050	  0       9.22		  1.0	       1.0	   0.14  
403048	  0       9.22		  1.0	       1.0	   0.14  
403047	  0       9.22		  1.0	       1.0	   0.14  
402701	  0       9.22		  1.0	       1.0	   0.14  
403045	  0       9.22		  1.0	       1.0	   0.14  
402702	  0       9.22		  1.0	       1.0	   0.14  
402703	  0       9.22		  1.0	       1.0	   0.14  
402704	  0       9.22		  1.0	       1.0	   0.14  
403046	  0       9.22		  1.0	       1.0	   0.14  
402155	  0       9.22		  1.0	       1.0	   0.14  
#m=700GeV
402041	  0       3.53            1.0          1.0         0.14
402042	  0       3.53            1.0          1.0         0.14
#m=800GeV
402771	  0       1.49		  1.0	       1.0         0.15
402779	  0       1.49		  1.0	       1.0         0.15
402787	  0       1.49		  1.0	       1.0         0.15
402043	  0       1.49		  1.0	       1.0         0.15
402044	  0       1.49		  1.0	       1.0         0.15
402045	  0       1.49		  1.0	       1.0         0.15
403055	  0       1.49		  1.0	       1.0         0.15
403056	  0       1.49		  1.0	       1.0         0.15
403054	  0       1.49		  1.0	       1.0         0.15
403053	  0       1.49		  1.0	       1.0         0.15
402706	  0       1.49		  1.0	       1.0         0.15
403051	  0       1.49		  1.0	       1.0         0.15
402707	  0       1.49		  1.0	       1.0         0.15
402708	  0       1.49		  1.0	       1.0         0.15
402709	  0       1.49		  1.0	       1.0         0.15
403052	  0       1.49		  1.0	       1.0         0.15
402000	  0       1.49		  1.0	       1.0         0.15
#m=900GeV
402049	  0       0.677           1.0          1.0         0.16
402050	  0       0.677           1.0          1.0         0.16
402051	  0       0.677           1.0          1.0         0.16
#m=1000GeV
402772	  0       0.325		  1.0	       1.0	   0.17
402780	  0       0.325		  1.0	       1.0	   0.17
402788	  0       0.325		  1.0	       1.0	   0.17
402052	  0       0.325		  1.0	       1.0	   0.17
402053	  0       0.325		  1.0	       1.0	   0.17
402054	  0       0.325		  1.0	       1.0	   0.17
402055	  0       0.325		  1.0	       1.0	   0.17
402056	  0       0.325		  1.0	       1.0	   0.17
402057	  0       0.325		  1.0	       1.0	   0.17
403061	  0       0.325		  1.0	       1.0	   0.17
403062	  0       0.325		  1.0	       1.0	   0.17
403060	  0       0.325		  1.0	       1.0	   0.17
403059	  0       0.325		  1.0	       1.0	   0.17
402711	  0       0.325		  1.0	       1.0	   0.17
403057	  0       0.325		  1.0	       1.0	   0.17
402712	  0       0.325		  1.0	       1.0	   0.17
402713	  0       0.325		  1.0	       1.0	   0.17
402714	  0       0.325		  1.0	       1.0	   0.17
403058	  0       0.325		  1.0	       1.0	   0.17
402001	  0       0.325		  1.0	       1.0	   0.17
#m=1100GeV
402067	  0       0.163           1.0          1.0         0.18
402068	  0       0.163           1.0          1.0         0.18
402069	  0       0.163           1.0          1.0         0.18
