# Signals for monophoton analysis
# cross-sections are in pb

################################################################################################################
# Simplified Model 

DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT  #dummy 100% unc
303651   0     0.5164	           1.             1.		 1.
303652   0     0.38245             1.             1.		 1.
303653   0     0.1746	           1.             1.		 1.
303654   0     0.07634             1.             1.		 1.
303655   0     0.014205            1.             1.		 1.
303656   0     0.0011495           1.             1.		 1.
303657   0     1.1665e-07          1.             1.		 1.
303658   0     0.02897             1.             1.		 1.
303659   0     0.031315            1.             1.		 1.
303660   0     0.3882	           1.             1.		 1.
303661   0     0.37195             1.             1.		 1.
303662   0     0.010405            1.             1.		 1.
303663   0     0.008458            1.             1.		 1.
303664   0     0.01458             1.             1.		 1.
303665   0     0.21115             1.             1.		 1.
303666   0     0.16005             1.             1.		 1.
303667   0     0.0041115           1.             1.		 1.
303668   0     0.0017515           1.             1.		 1.
303669   0     0.004345            1.             1.		 1.
303670   0     0.051995            1.             1.		 1.
303671   0     0.013055            1.             1.		 1.
303672   0     0.00037925          1.             1.		 1.
303673   0     4.5195e-05          1.             1.		 1.
303674   0     0.00025705          1.             1.		 1.
303675   0     0.00085255          1.             1.		 1.
303676   0     1.98e-05            1.             1.		 1.
303677   0     1.7165e-06          1.             1.		 1.
303678   0     1.5625e-05          1.             1.		 1.
303679   0     1.4545e-08          1.             1.		 1.

################################################################################################################
# EW EFT Model 

303643   0     1.1325e-06	   1.		  1.		 1. 
303644   0     1.1315e-06	   1.		  1.		 1. 
303645   0     1.1025e-06	   1.		  1.		 1. 
303646   0     1.033e-06	   1.		  1.		 1. 
303647   0     8.386e-07	   1.		  1.		 1. 
303648   0     4.805e-07	   1.		  1.		 1. 
303649   0     1.3295e-07	   1.		  1.		 1. 
303650   0     2.3935e-08	   1.		  1.		 1. 
	
################################################################################################################
# ADD Model 

303004   0     0.07782  	   1.		  1.		  1.
303005   0     0.1098		   1.		  1.		  1.
303006   0     0.1829		   1.		  1.		  1.
303007   0     0.3252		   1.		  1.		  1.
303008   0     0.65185  	   1.		  1.		  1.
303009   0     0.015275 	   1.		  1.		  1.
303010   0     0.01451  	   1.		  1.		  1.
303011   0     0.015825 	   1.		  1.		  1.
303012   0     0.019125 	   1.		  1.		  1.
303013   0     0.025195 	   1.		  1.		  1.
